h1_aprsmg_mp,base,1,wpn_h1_smg_fang45_uop_vm_camo,wpn_h1_smg_fang45_uop_npc_camo,,wpn_h1_smg_fang45_uop_vm_wet_camo,wpn_h1_smg_fang45_uop_npc_wet_camo,,wpn_h1_smg_fang45_uop_lobby,LootDrop6,
h1_uzi_mp,acog,0,attach_h1_scope_acog_vm_mp,attach_h1_scope_acog_npc_mp,,attach_h1_scope_acog_vm_wet_mp,attach_h1_scope_acog_npc_wet_mp,,,LootDrop6,
h1_uzi_mp,holosight,0,attach_h1_optics_holosight_vm,attach_h1_optics_holosight_npc,,,,,,LootDrop6,
h1_uzi_mp,reflex,0,attach_h1_optic_reflex_vm,attach_h1_optic_reflex_npc,,attach_h1_optic_reflex_vm_wet,attach_h1_optic_reflex_npc_wet,,,LootDrop6,
h1_uzi_mp,reflexvar,0,attach_h1_optic_reflex_variant_vm_mp,attach_h1_optic_reflex_variant_npc_mp,,,,,,LootDrop6,
h1_uzi_mp,silencer,0,attach_h1_silencer_smg_vm,attach_h1_silencer_smg_npc,,attach_h1_silencer_smg_vm_wet,attach_h1_silencer_smg_npc_wet,,,LootDrop6,
h1_uzi_mp,thermal,0,attach_h1_scope_thermal_vm_patch_mp,attach_h1_scope_thermal_npc_patch_mp,,,,,,LootDrop6,
h1_skorpion_mp,base,1,wpn_h1_smg_vz61_uop_vm_camo,wpn_h1_smg_vz61_uop_npc_camo,,wpn_h1_smg_vz61_uop_vm_wet_camo,wpn_h1_smg_vz61_uop_npc_wet_camo,,wpn_h1_smg_vz61_uop_lobby,LootDrop6,
h1_skorpion_mp,acog,0,attach_h1_scope_acog_vm_mp,attach_h1_scope_acog_npc_mp,,attach_h1_scope_acog_vm_wet_mp,attach_h1_scope_acog_npc_wet_mp,,,LootDrop6,
h1_skorpion_mp,holosight,0,attach_h1_optics_holosight_vm,attach_h1_optics_holosight_npc,,,,,,LootDrop6,
h1_skorpion_mp,reflex,0,attach_h1_optic_reflex_vm,attach_h1_optic_reflex_npc,,attach_h1_optic_reflex_vm_wet,attach_h1_optic_reflex_npc_wet,,,LootDrop6,
h1_skorpion_mp,reflexvar,0,attach_h1_optic_reflex_variant_vm_mp,attach_h1_optic_reflex_variant_npc_mp,,,,,,LootDrop6,
h1_skorpion_mp,silencer,0,attach_h1_silencer_smg_vm,attach_h1_silencer_smg_npc,,attach_h1_silencer_smg_vm_wet,attach_h1_silencer_smg_npc_wet,,,LootDrop6,
h1_skorpion_mp,thermal,0,attach_h1_scope_thermal_vm_patch_mp,attach_h1_scope_thermal_npc_patch_mp,,,,,,LootDrop6,
h1_ak74u_mp,base,1,wpn_h1_smg_ak74u_uop_vm_camo,wpn_h1_smg_ak74u_uop_npc_camo,,wpn_h1_smg_ak74u_uop_vm_wet_camo,wpn_h1_smg_ak74u_uop_npc_wet_camo,,wpn_h1_smg_ak74u_uop_lobby,LootDrop6,
h1_ak74u_mp,muzzle,1,attach_h1_flashhider_ak74u_patch_vm,attach_h1_flashhider_ak74u_patch_npc,,,,,,LootDrop6,
h1_ak74u_mp,acog,0,attach_h1_scope_acog_vm_mp,attach_h1_scope_acog_npc_mp,,attach_h1_scope_acog_vm_wet_mp,attach_h1_scope_acog_npc_wet_mp,,,LootDrop6,
h1_ak74u_mp,holosight,0,attach_h1_optics_holosight_vm,attach_h1_optics_holosight_npc,,,,,,LootDrop6,
h1_ak74u_mp,reflex,0,attach_h1_optic_reflex_vm,attach_h1_optic_reflex_npc,,attach_h1_optic_reflex_vm_wet,attach_h1_optic_reflex_npc_wet,,,LootDrop6,
h1_ak74u_mp,reflexvar,0,attach_h1_optic_reflex_variant_vm_mp,attach_h1_optic_reflex_variant_npc_mp,,,,,,LootDrop6,
h1_ak74u_mp,silencer,0,attach_h1_silencer_russian_vm,attach_h1_silencer_russian_npc,,attach_h1_silencer_russian_vm_wet,attach_h1_silencer_russian_npc_wet,,,LootDrop6,
h1_ak74u_mp,thermal,0,attach_h1_scope_thermal_vm_patch_mp,attach_h1_scope_thermal_npc_patch_mp,,,,,,LootDrop6,
h1_augsmg_mp,base,1,wpn_h1_smg_psd9_uop_vm_camo,wpn_h1_smg_psd9_uop_npc_camo,,wpn_h1_smg_psd9_uop_vm_wet_camo,wpn_h1_smg_psd9_uop_npc_wet_camo,,wpn_h1_smg_psd9_uop_lobby,LootDrop6,
h1_augsmg_mp,acog,0,attach_h1_scope_acog_vm_mp,attach_h1_scope_acog_npc_mp,,attach_h1_scope_acog_vm_wet_mp,attach_h1_scope_acog_npc_wet_mp,,,Gold,
h1_augsmg_mp,reflex,0,attach_h1_optic_reflex_vm,attach_h1_optic_reflex_npc,,attach_h1_optic_reflex_vm_wet,attach_h1_optic_reflex_npc_wet,,,Gold,
h1_augsmg_mp,silencer,0,attach_h1_silencer_smg_vm,attach_h1_silencer_smg_npc,,attach_h1_silencer_smg_vm_wet,attach_h1_silencer_smg_npc_wet,,,Gold,
