a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,,,,,,,,,,,,,,,,,,,,,
16,rank_gysgt1,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
17,rank_gysgt2,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
18,rank_msgt,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
19,rank_msgt1,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
20,rank_msgt2,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
21,rank_mgysgt,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
22,rank_mgysgt1,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
23,rank_mgysgt2,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
24,rank_2ndlt,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
25,rank_2ndlt1,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
26,rank_2ndlt2,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
27,rank_1stlt,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
28,rank_1stlt1,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
29,rank_1stlt2,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
30,rank_capt,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
31,rank_capt1,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
32,rank_capt2,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
33,rank_maj,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
34,rank_maj1,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
35,rank_maj2,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
36,rank_ltcol,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
37,rank_ltcol1,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
38,rank_ltcol2,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
39,rank_col,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
40,rank_col1,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
41,rank_col2,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
42,rank_bgen,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
43,rank_bgen1,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
44,rank_bgen2,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
45,rank_majgen,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
46,rank_majgen1,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
47,rank_majgen2,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
48,rank_ltgen,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
49,rank_ltgen1,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
50,rank_ltgen2,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
51,rank_gen,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
52,rank_gen1,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
53,rank_gen2,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
54,rank_comm,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
masterPrestigeIcon,rank_prestigemaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
