a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,p16,r17,s18,t19,u20,v21,w22,x23,y24,z25,aa26,bb27,cc28,dd29,ee30,ff31,gg32,hh33,ii34,jj35,kk36,ll37,mm38,mm39,nn40,oo41,pp42,qq43,rr44,ss45,tt46,uu47,vv48,ww49,xx50,yy51,zz52,aaa53,bbb54,ccc55,ddd56,eee57,fff58,ggg59,hhh60,iii61,jjj62,kkk63,lll64,mmm65,nnn66,
2952,7572,weapon_smg,WEAPON_SKORPION,h1_skorpion,,weapon_skorpion,PERKS_FULLY_AUTOMATIC_WITH1,,weapon_stow_mid_up,,acogmwr,holosightmwr,reflexmwr,reflexvarmwr,thermalmwr,gripmwr,longbarrelmwr,silencermwr,xmagmwr,,,,,,,,,,,,,,,,,,,,,,90,75,30,75,100,,,,0x10002C0,,,,0,,0,0,run_and_gun|cqb,recruit|regular|hardened|veteran,,0,,,,0,0,Gold,
2953,7573,weapon_smg,WEAPON_UZI,h1_uzi,,weapon_mini_uzi,PERKS_FULLY_AUTOMATIC_WITH2,,weapon_stow_mid_up,,acogmwr,holosightmwr,reflexmwr,reflexvarmwr,thermalmwr,gripmwr,longbarrelmwr,silencermwr,xmagmwr,,,,,,,,,,,,,,,,,,,,,,80,75,40,85,100,,,,0x10002C3,,,,0,,0,0,run_and_gun|cqb,regular|hardened|veteran,,0,,,,0,0,Gold,
2958,7578,weapon_heavy,WEAPON_M60E4,h1_m60e4,,weapon_m60e4,PERKS_FULLY_AUTOMATIC_WITH11,,weapon_stow_mid_up,,acogmwr,holosightmwr,reflexmwr,reflexvarmwr,thermalmwr,gripmwr,longbarrelmwr,silencermwr,xmagmwr,,,,,,,,,,,,,,,,,,,,,,65,85,75,25,33,,,,0x10002CA,,,,0,,0,0,run_and_gun,regular|hardened|veteran,,0,,,,0,0,Gold,
2956,7576,weapon_heavy,WEAPON_RPD,h1_rpd,,weapon_rpd,PERKS_FULLY_AUTOMATIC_WITH9,,weapon_stow_mid_up,,acogmwr,holosightmwr,reflexmwr,reflexvarmwr,thermalmwr,gripmwr,heartbeatmwr,longbarrelmwr,silencermwr,xmagmwr,,,,,,,,,,,,,,,,,,,,,60,75,75,50,33,,,,0x10002C8,,,,0,,0,0,run_and_gun,recruit|regular|hardened|veteran,,0,,,,0,0,Gold,
2957,7577,weapon_heavy,WEAPON_SAW,h1_saw,,weapon_m249saw,PERKS_FULLY_AUTOMATIC_WITH10,,weapon_stow_mid_up,,acogmwr,holosightmwr,reflexmwr,reflexvarmwr,thermalmwr,gripmwr,heartbeatmwr,longbarrelmwr,silencermwr,xmagmwr,,,,,,,,,,,,,,,,,,,,,70,40,75,80,33,,,,0x10002C9,,,,0,,0,0,run_and_gun,recruit|regular|hardened|veteran,,0,,,,0,0,Gold,
2954,7574,weapon_shotgun,WEAPON_BENELLI,h1_m1014,,weapon_benelli_m4,PERKS_SEMIAUTOMATIC_COMBAT,,weapon_stow_mid_up,,holosightmwr,reflexmwr,reflexvarmwr,gripmwr,longbarrelmwr,silencermwr,xmagmwr,,,,,,,,,,,,,,,,,,,,,,,,30,80,20,35,100,,,,0x10002C6,,,,0,,0,0,cqb,hardened|veteran,,0,,,,0,0,Gold,
2955,7575,weapon_shotgun,WEAPON_WINCHESTER1200,h1_winchester1200,,weapon_winchester1200,PERKS_PUMP_ACTION_SHOTGUN_EFFECTIVE,,weapon_stow_mid_up,,holosightmwr,reflexmwr,reflexvarmwr,gripmwr,longbarrelmwr,silencermwr,xmagmwr,,,,,,,,,,,,,,,,,,,,,,,,25,90,20,20,100,,,,0x10002C7,,,,0,,0,0,cqb,recruit|regular|hardened|veteran,,0,,,,0,0,Gold,
2960,7580,weapon_sniper,WEAPON_BARRETT,h1_barrett,,weapon_barrett50cal,PERKS_SEMIAUTOMATIC_SNIPER1,,weapon_stow_mid_up,,acogmwr,thermalmwr,varzoommwr,heartbeatmwr,longbarrelmwr,silencermwr,xmagmwr,,,,,,,,,,,,,,,,,,,,,,,,60,90,100,35,66,,,,0x10002CE,,,,0,,0,0,camper,veteran,,0,,,,0,0,Gold,
2959,7579,weapon_sniper,WEAPON_DRAGUNOV,h1_dragunov,,weapon_dragunovsvd,PERKS_SEMIAUTOMATIC_SNIPER,,weapon_stow_mid_up,,acogmwr,thermalmwr,varzoommwr,heartbeatmwr,longbarrelmwr,silencermwr,xmagmwr,,,,,,,,,,,,,,,,,,,,,,,,60,80,100,50,66,,,,0x10002CC,,,,0,,0,0,camper,regular|hardened|veteran,,0,,,,0,0,Gold,
2963,7583,weapon_sniper,WEAPON_M21,h1_m21,,weapon_m14_scoped,PERKS_SEMIAUTOMATIC_SNIPER2,,weapon_stow_mid_up,,acogmwr,thermalmwr,varzoommwr,heartbeatmwr,longbarrelmwr,silencermwr,xmagmwr,,,,,,,,,,,,,,,,,,,,,,,,60,65,100,50,66,,,,0x10002D4,,,,0,,0,0,camper,regular|hardened|veteran,,0,,,,0,0,Gold,
2962,7582,weapon_sniper,WEAPON_M40A3,h1_m40a3,,weapon_m40a3,PERKS_BOLTACTION_SNIPER_RIFLE,,weapon_stow_mid_up,,acogmwr,thermalmwr,varzoommwr,heartbeatmwr,longbarrelmwr,silencermwr,xmagmwr,,,,,,,,,,,,,,,,,,,,,,,,80,80,100,20,66,,,,0x10002D2,,,,0,,0,0,camper,recruit|regular|hardened|veteran,,0,,,,0,0,Gold,
2961,7581,weapon_sniper,WEAPON_REMINGTON700,h1_remington700,,weapon_remington700,PERKS_BOLTACTION_SNIPER_RIFLE1,,weapon_stow_mid_up,,acogmwr,thermalmwr,varzoommwr,heartbeatmwr,longbarrelmwr,silencermwr,xmagmwr,,,,,,,,,,,,,,,,,,,,,,,,70,90,100,20,66,,,,0x10002D0,,,,0,,0,0,camper,hardened|veteran,,0,,,,0,0,Gold,
2942,7562,weapon_pistol,WEAPON_BERETTA,h1_beretta,,weapon_m9beretta,PERKS_SEMIAUTOMATIC_WITH_A,,weapon_stow_mid_up,,reflexmwr,akimbomwr,longbarrelmwr,silencermwr,tacknifemwr,xmagmwr,,,,,,,,,,,,,,,,,,,,,,,,,70,75,25,35,100,,,,0x10002AE,,,,0,,0,0,run_and_gun|cqb|camper,recruit|regular|hardened|veteran,,0,,,,0,0,Gold,
2964,7584,weapon_pistol,WEAPON_COLT45,h1_colt45,,weapon_colt_45,PERKS_SEMIAUTOMATIC_WITH_MEDIUM,,weapon_stow_mid_up,,reflexmwr,akimbomwr,longbarrelmwr,silencermwr,tacknifemwr,xmagmwr,,,,,,,,,,,,,,,,,,,,,,,,,70,75,30,35,100,,,,0x10002D6,,,,0,,0,0,run_and_gun|cqb|camper,regular|hardened|veteran,,0,,,,0,0,Gold,
2966,7586,weapon_pistol,WEAPON_DESERTEAGLE,h1_deserteagle,,weapon_desert_eagle,PERKS_SEMIAUTOMATIC_WITH_HIGH,,weapon_stow_mid_up,,reflexmwr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,90,40,35,100,,,,0x10002D8,,,,0,,0,0,run_and_gun|cqb|camper,hardened|veteran,,0,,,,0,0,Gold,
2965,7585,weapon_pistol,WEAPON_USP,h1_usp,,weapon_usp_45,PERKS_SEMIAUTOMATIC_WITH_MEDIUM1,,weapon_stow_mid_up,,reflexmwr,akimbomwr,longbarrelmwr,silencermwr,tacknifemwr,xmagmwr,,,,,,,,,,,,,,,,,,,,,,,,,80,75,35,35,100,,,,0x10002D7,,,,0,,0,0,run_and_gun|cqb|camper,recruit|regular|hardened|veteran,,0,,,,0,0,Gold,
2967,7587,weapon_projectile,WEAPON_RPG,h1_rpg,,weapon_rpg7,PERKS_PORTABLE_SHOULDERLAUNCHED,,weapon_at4_stow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,,,0x10002D9,,,,0,,0,0,,,maaws,0,,,,0,0,Gold,
2976,7596,attachkit,MPUI_NO_ATTACHMENT,ak_none,,weapon_missing_image,PERKS_NO_ATTACHMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x10002E2,,,,0,,0,0,,,,0,,,,0,0,Gold,
2979,7599,attachkit,MPUI_GRENADELAUNCHER,ak_gl,,weapon_attachment_shotgun,PERKS_DESC_GRENADELAUNCHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,0x10002E5,,,,0,,0,0,run_and_gun|cqb|camper,recruit|regular|hardened|veteran,,0,,,,0,0,Gold,
2985,7605,attachkit,MPUI_RED_DOT_SIGHT,ak_reflex,,weapon_attachment_reflex,PERKS_REPLACE_THE_IRON_SIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,0x10002EB,,,,0,,0,0,run_and_gun|cqb|camper,regular|hardened|veteran,,0,,,,0,0,Gold,
2987,7607,attachkit,MPUI_SILENCER,ak_silencer,,weapon_attachment_suppressor,PERKS_INVISIBLE_ON_GPS_WHEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-10,0,0,,,,0x10002ED,,,,0,,0,0,run_and_gun|cqb|camper,recruit|regular|hardened|veteran,,0,,,,0,0,Gold,
2980,7600,attachkit,MPUI_FOREGRIP,ak_grip,,weapon_attachment_grip,PERKS_VERTICAL_FOREGRIP_FOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,0,0,,,,0x10002E6,,,,0,,0,0,run_and_gun|cqb|camper,regular|hardened|veteran,,0,,,,0,0,Gold,
2977,7597,attachkit,MPUI_ACOG_SCOPE,ak_acog,,weapon_attachment_acog,PERKS_ENHANCED_ZOOM_ACOG_SCOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5,0,10,0,0,,,,0x10002E3,,,,0,,0,0,run_and_gun|camper,regular|hardened|veteran,,0,,,,0,0,Gold,
2992,7612,furniturekit,MPUI_NO_FURNITUREKIT,fk_none,,weapon_missing_image,PERKS_NO_FURNITUREKIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x10002F2,,,,0,,0,0,,,,0,,,,0,0,Gold,
2993,7613,furniturekit,MPUI_NO_FURNITUREKIT,fk_base,,weapon_missing_image,MPUI_NO_FURNITUREKIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x10002F3,,,,0,,0,0,,,,0,,,,0,0,Gold,
3011,7631,attachkit,MPUI_AKIMBO,ak_devakimbo,,weapon_attachment_akimbo,PERKS_DESC_AKIMBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1000305,,,,0,,0,0,,,,0,,,,0,0,LootDrop5,
3037,7657,weapon_melee,WEAPON_MELEESHOVEL,h1_meleeshovel,,melee_shovel,PERKS_MELEE_RANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100C697,,,reward,0,,0,0,,,,0,,,,4150,0,LootDrop1,
3040,7660,weapon_pistol,WEAPON_DESERTEAGLE55,h1_deserteagle55,,weapon_desert_eagle_gold,PERKS_SEMIAUTOMATIC_WITH_HIGH,,weapon_stow_mid_up,,reflexmwr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,90,40,35,100,,,,0x1000322,,,,0,,0,0,run_and_gun|cqb|camper,veteran,,0,,,,0,0,Gold,
4352,8972,furniturekit,LOOT_DEC_FK_REWARD_03,fk_cmp,,h1_weapon_kit_icon_competition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100C6C4,,,reward,0,,0,0,,,,0,,,,4025,0,LootDrop1,
3044,7664,furniturekit,LOOT_FK_GSR,fk_gsr,,h1_weapon_kit_icon_gunslinger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100C6CE,,,reward,0,,0,0,,,,0,,,,4025,0,LootDrop1,
3045,7665,furniturekit,LOOT_FK_ASN,fk_asn,,h1_weapon_kit_icon_assassin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100C6C0,,,reward,0,,0,0,,,,0,,,,4025,0,LootDrop1,
3046,7666,furniturekit,LOOT_FK_BTW,fk_btw,,h1_weapon_kit_icon_battleworn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100C6C2,,,reward,0,,0,0,,,,0,,,,4025,0,LootDrop1,
3047,7667,furniturekit,LOOT_FK_WAR,fk_war,,h1_weapon_kit_icon_warfighter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100C6CB,,,reward,0,,0,0,,,,0,,,,4025,0,LootDrop1,
3049,7669,weapon_grenade,h1_fraggrenade,h1_fraggrenade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100032B,,,,0,,0,0,,,,0,,,,0,0,Gold,
3050,7670,weapon_grenade,h1_fraggrenadeshort,h1_fraggrenadeshort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100032C,,,,0,,0,0,,,,0,,,,0,0,Gold,
3051,7671,weapon_grenade,h1_flashgrenade,h1_flashgrenade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100032D,,,,0,,0,0,,,,0,,,,0,0,Gold,
3052,7672,weapon_grenade,h1_concussiongrenade,h1_concussiongrenade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100032E,,,,0,,0,0,,,,0,,,,0,0,Gold,
3053,7673,weapon_grenade,h1_smokegrenade,h1_smokegrenade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100032F,,,,0,,0,0,,,,0,,,,0,0,Gold,
3054,7674,weapon_grenade,h1_c4,h1_c4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1000330,,,,0,,0,0,,,,0,,,,0,0,Gold,
3055,7675,weapon_grenade,h1_claymore,h1_claymore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1000331,,,,0,,0,0,,,,0,,,,0,0,Gold,
3361,7981,supplydrop,basic,aw_basic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100D007,,,supply_drop,0,,0,0,,,,0,1,,,2700,0,LootDrop1,
3362,7982,supplydrop,advanced,aw_advanced,,depot_crate_rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100D008,,,supply_drop,0,,0,0,,,,1,1,,grind,8100,0,LootDrop1,
5266,9885,supplydrop,advanced,aw_advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100D009,0x100D008,,supply_drop,0,,0,0,,,,1,1,,grind,8100,0,LootDrop1,
4420,9039,supplydrop,onboarding,onboarding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100D00A,,,supply_drop,0,,0,0,,,,0,,,nopurchase,2147483647,0,LootDrop1,
3363,7983,weapon_shotgun,WEAPON_KAM12,h1_kam12,,sho_kamchatka12,PERKS_FULLY_AUTOMATIC_SHOTGUN,,weapon_stow_mid_up,,longbarrelmwr,silencermwr,xmagmwr,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,70,20,55,100,,,,0x100C6A3,,,reward,0,,0,0,,,,0,,,,4150,0,LootDrop2,
3365,7985,weapon_melee,WEAPON_MELEEBOTTLE,h1_meleebottle,,melee_bottle,PERKS_MELEE_RANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1007459,,,loot,0,,0,0,,,,3,,,,3600,0,LootDrop1,
3366,7986,weapon_melee,WEAPON_MELEEBLADE,h1_meleeblade,,melee_schimitar,PERKS_MELEE_RANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100C69C,,,reward,0,,0,0,,,,0,,,,4150,0,LootDrop1,
3367,7987,weapon_melee,WEAPON_MELEEICEPICK,h1_meleeicepick,,melee_ice_pick,PERKS_MELEE_RANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100C695,,,reward,0,,0,0,,,,0,,,,4150,0,LootDrop1,
3370,7990,furniturekit,LOOT_FK_CLH,fk_clh,,h1_weapon_kit_icon_cliffhanger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100B2D9,,,loot,0,,0,0,,,,3,,,,2150,0,LootDrop1,
3371,7991,furniturekit,LOOT_FK_FCN,fk_fcn,,h1_weapon_kit_icon_faction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100B2DA,,,loot,0,,0,0,,,,3,,,,2150,0,LootDrop1,
3372,7992,furniturekit,LOOT_FK_GVD,fk_gvd,,h1_weapon_kit_icon_gravedigger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100AB09,,,loot,0,,0,0,,,,1,,,,775,0,LootDrop1,
3373,7993,furniturekit,LOOT_FK_NSE,fk_nse,,h1_weapon_kit_icon_norse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100AEF2,,,loot,0,,0,0,,,,2,,,,1300,0,LootDrop1,
3374,7994,furniturekit,LOOT_FK_SCN,fk_scn,,h1_weapon_kit_icon_scorpion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100B2DB,,,loot,0,,0,0,,,,3,,,,2150,0,LootDrop1,
4119,8739,furniturekit,LOOT_DEC_FK_06,fk_cpr,,h1_weapon_kit_icon_competition_skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100AEF1,,,loot,0,,0,0,,,,2,,,,1300,0,LootDrop1,
4433,9052,furniturekit,LOOT_ITEMSET_DEFAULT,fk_lby,,h1_weapon_kit_icon_battleworn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100D00B,,,,0,,0,0,,,,0,,,,0,0,LootDrop1,
3377,7997,weapon_melee,LUA_MENU_NONE_CAPS,none,,weapon_combat_knife,WEAPON_TEMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1000472,,,,0,,0,0,,,,0,,,,0,0,Gold,
3389,8009,attachkit,MPUI_NO_ATTACHMENT,ak_blood,,weapon_missing_image,PERKS_NO_ATTACHMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1000473,,,,0,,0,0,,,,0,,,,0,0,LootDrop1,
3438,8058,callingcard,LOOT_DEC_CC_01,cc_dec_bad_karma_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1001A81,,,loot,0,,0,0,,,,0,,,em_bg_bad_karma_01,165,0,LootDrop1,
3439,8059,callingcard,LOOT_DEC_CC_02,cc_dec_bad_karma_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1001A82,,,loot,0,,0,0,,,,0,,,em_bg_bad_karma_02,165,0,LootDrop1,
3503,8123,callingcard,LOOT_DEC_CC_23,cc_dec_bad_karma_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1001E6A,,,loot,0,,0,0,,,,1,,,em_bg_bad_karma_03,275,0,LootDrop1,
3504,8124,callingcard,LOOT_DEC_CC_24,cc_dec_bad_karma_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1001E6B,,,loot,0,,0,0,,,,1,,,em_bg_bad_karma_04,275,0,LootDrop1,
3505,8125,callingcard,LOOT_DEC_CC_25,cc_dec_bad_karma_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1001E6C,,,loot,0,,0,0,,,,1,,,em_bg_bad_karma_05,275,0,LootDrop1,
3560,8180,callingcard,LOOT_DEC_CC_44,cc_dec_bad_karma_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1002251,,,loot,0,,0,0,,,,2,,,em_bg_bad_karma_06,775,0,LootDrop1,
3582,8202,callingcard,LOOT_DEC_CC_53,cc_dec_bad_karma_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1002639,,,loot,0,,0,0,,,,3,,,em_bg_bad_karma_07,1300,0,LootDrop1,
4268,8888,callingcard,LOOT_DEC_CC_REWARD_01,cc_dec_bad_karma_reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100C670,,,reward,0,,0,0,,,,0,,,em_bg_reward_bad_karma,3950,0,LootDrop1,
3440,8060,callingcard,LOOT_DEC_CC_03,cc_dec_battle_worn_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1001A83,,,loot,0,,0,0,,,,0,,,em_bg_battle_worn_01,165,0,LootDrop1,
3441,8061,callingcard,LOOT_DEC_CC_04,cc_dec_cliffhanger_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1001A84,,,loot,0,,0,0,,,,0,,,em_bg_cliffhanger_01,165,0,LootDrop1,
3442,8062,callingcard,LOOT_DEC_CC_05,cc_dec_competitor_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1001A85,,,loot,0,,0,0,,,,0,,,em_bg_competitor_01,165,0,LootDrop1,
3443,8063,callingcard,LOOT_DEC_CC_06,cc_dec_cursed_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1001A86,,,loot,0,,0,0,,,,0,,,em_bg_cursed_01,165,0,LootDrop1,
3444,8064,callingcard,LOOT_DEC_CC_07,cc_dec_cursed_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1001A87,,,loot,0,,0,0,,,,0,,,em_bg_cursed_02,165,0,LootDrop1,
3506,8126,callingcard,LOOT_DEC_CC_26,cc_dec_cursed_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1001E6D,,,loot,0,,0,0,,,,1,,,em_bg_cursed_03,275,0,LootDrop1,
