no,akimbo,xmags,dualmag,tactical,parabolicmicrophone,gl,opticsreddot,opticsacog2,opticseotech,opticsthermal,silencer01,foregrip,directhack,variablereddot,opticstargetenhancer,longrange,quickdraw,stock,lasersight,morsscopevz,gm6scopevz,m990scopevz,thorscopevz,trackrounds,stabilizer,heatsink,ironsights,shieldcloak,shieldfastmelee,shieldfastplant,shieldshockplant,rw1scopebase,morsstabilizer,gm6stabilizer,m990stabilizer,thorstabilizer,crossbowscopebase,scopevz,silencerpistol,silencersniper,
shieldcloak,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,no,no,no,no,no,no,no,no,no,
shieldfastmelee,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,no,,,no,no,no,no,no,no,no,no,no,
shieldfastplant,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,no,,no,no,no,no,no,no,no,no,no,
shieldshockplant,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,no,no,no,no,no,no,no,no,no,no,
rw1scopebase,no,,no,,,no,no,no,no,no,no,no,no,no,no,,no,,,no,no,no,no,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,
morsstabilizer,no,,,no,,no,no,no,no,no,,,no,no,no,,no,,,no,no,no,no,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,
gm6stabilizer,no,,,no,,no,no,no,no,no,,,no,no,no,,no,,,no,no,no,no,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,
m990stabilizer,no,,,no,,no,no,no,no,no,,,no,no,no,,no,,,no,no,no,no,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,
thorstabilizer,no,,,no,,no,no,no,no,no,,,no,no,no,,no,,,no,no,no,no,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,
crossbowscopebase,no,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,
scopevz,no,,,,,,no,no,no,no,,,,no,no,,,,,no,no,no,no,,no,,no,no,no,no,no,no,no,no,no,no,no,no,,,
silencerpistol,,,,,,,,,,,no,,no,,,no,,,,,,,,,,,,no,no,no,no,no,,,,,no,,no,no,
silencersniper,,,,,,,,,,,no,,no,,,no,,,,,,,,,,,,no,no,no,no,no,,,,,no,,no,no,
