id,furniture kit name,Global Unique ID,Name,Description,Image,Weapon Classes,AST Item,SMG Item,LMG Item,SHT Item,SNP Item,PST Item,productionLevel,
16,gsl,0x100C6D1,LOOT_JAN_FK_REWARD_03,,h1_weapon_kit_icon_lawman,sht,,,,,,,LootDrop2,
17,kgp,0x100C6D2,LOOT_JAN_FK_REWARD_04,,h1_weapon_kit_icon_czar,lmg,,,,,,,LootDrop2,
18,kin,0x100C6C7,LOOT_FEB_FK_REWARD_12,,h1_weapon_kit_icon_feb_kingpin,smg,,,,,,,LootDrop3,
19,clr,0x100C6E1,LOOT_FEB_FK_REWARD_10,,h1_weapon_kit_icon_feb_challenger,ast,,,,,,,LootDrop3,
20,wtn,0x100C6E2,LOOT_FEB_FK_REWARD_14,,h1_weapon_kit_icon_feb_wartorn,lmg,,,,,,,LootDrop3,
21,kls,0x100C6E3,LOOT_FEB_FK_REWARD_11,,h1_weapon_kit_icon_feb_killshot,snp,,,,,,,LootDrop3,
22,ntb,0x100C6E4,LOOT_FEB_FK_REWARD_05,,h1_weapon_kit_icon_feb_noobtuber,ast,,,,,,,LootDrop3,
23,ttm,0x100C6E5,LOOT_FEB_FK_REWARD_08,,h1_weapon_kit_icon_feb_titanium,lmg,,,,,,,LootDrop3,
24,frg,0x100C6E6,LOOT_FEB_FK_REWARD_02,,h1_weapon_kit_icon_feb_frag,sht,,,,,,,LootDrop3,
25,mkm,0x100C6E7,LOOT_FEB_FK_REWARD_03,,h1_weapon_kit_icon_feb_chalk,snp,,,,,,,LootDrop3,
26,rwr,0x100C6E8,LOOT_FEB_FK_REWARD_06,,h1_weapon_kit_icon_feb_reactive,smg,,,,,,,LootDrop3,
27,eqr,0x100C6E9,LOOT_FEB_FK_REWARD_01,,h1_weapon_kit_icon_feb_avalanche,pst,,,,,,,LootDrop3,
28,mtp,0x100C6EA,LOOT_FEB_FK_REWARD_04,,h1_weapon_kit_icon_feb_mastercraft,ast,,,,,,,LootDrop3,
29,utv,0x100C6EB,LOOT_FEB_FK_REWARD_09,,h1_weapon_kit_icon_feb_ultraviolet,lmg,,,,,,,LootDrop3,
30,stg,0x100C6EC,LOOT_FEB_FK_REWARD_07,,h1_weapon_kit_icon_feb_venom,smg,,,,,,,LootDrop3,
31,bss,0x100D0B3,LOOT_FEB_FK_REWARD_15,,h1_weapon_kit_icon_feb_boss,pst,,,,,,,LootDrop3,
32,pgn,0x100D0C1,LOOT_FEB_FK_REWARD_13,,h1_weapon_kit_icon_feb_pigpen,sht,,,,,,,LootDrop3,
33,ish,0x100D125,LOOT_FEB_FK_01,,h1_weapon_kit_icon_feb_leprechaun,ast,,,,,,,LootDrop3,
34,hnn,0x100D15E,LOOT_APR_FK_REWARD_07,,h1_weapon_kit_icon_apr_highnoon,ast,,,,,,,LootDrop4,
35,phx,0x100D160,LOOT_APR_FK_REWARD_03,,h1_weapon_kit_icon_apr_phalanx,lmg,,,,,,,LootDrop4,
36,urw,0x100D162,LOOT_APR_FK_REWARD_06,,h1_weapon_kit_icon_apr_urbanwarfare,sht,,,,,,,LootDrop4,
37,ftd,0x100D164,LOOT_APR_FK_REWARD_01,,h1_weapon_kit_icon_apr_fieldtested,snp,,,,,,,LootDrop4,
38,kgf,0x100D166,LOOT_APR_FK_REWARD_02,,h1_weapon_kit_icon_apr_kingfish,sht,,,,,,,LootDrop4,
39,ttf,0x100D168,LOOT_APR_FK_REWARD_05,,h1_weapon_kit_icon_apr_tacticalfighter,ast,,,,,,,LootDrop4,
40,btt,0x100D16A,LOOT_APR_FK_REWARD_04,,h1_weapon_kit_icon_apr_battletested,pst,,,,,,,LootDrop4,
41,prm,0x100D16C,LOOT_APR_FK_01,,h1_weapon_kit_icon_apr_caveman,smg,,,,,,,LootDrop4,
42,tki,0x100D1EE,LOOT_JUN_FK_01,,h1_weapon_kit_icon_jun_nauticus,smg,,,,,,,LootDrop5,
43,wlf,0x100D1EF,LOOT_JUN_FK_REWARD_01,,h1_weapon_kit_icon_jun_wolfen,ast,,,,,,,LootDrop5,
44,clb,0x100D1F1,LOOT_JUN_FK_REWARD_02,,h1_weapon_kit_icon_jun_celebration,lmg,,,,,,,LootDrop5,
45,wsr,0x100D1F3,LOOT_JUN_FK_REWARD_03,,h1_weapon_kit_icon_jun_warscarred,sht,,,,,,,LootDrop5,
46,slt,0x100D1F5,LOOT_JUN_FK_REWARD_04,,h1_weapon_kit_icon_jun_slate,snp,,,,,,,LootDrop5,
47,gsy,0x100D1F7,LOOT_JUN_FK_REWARD_05,,h1_weapon_kit_icon_jun_grisly,snp,,,,,,,LootDrop5,
48,pyr,0x100D1F9,LOOT_JUN_FK_REWARD_06,,h1_weapon_kit_icon_jun_pyrotechnic,sht,,,,,,,LootDrop5,
49,bko,0x100D1FB,LOOT_JUN_FK_REWARD_07,,h1_weapon_kit_icon_jun_blackout,ast,,,,,,,LootDrop5,
50,gla,0x100D1FD,LOOT_JUN_FK_REWARD_08,,h1_weapon_kit_icon_jun_glacier,lmg,,,,,,,LootDrop5,
51,msp,0x100D1FF,LOOT_JUN_FK_REWARD_09,,h1_weapon_kit_icon_jun_masterpiece,smg,,,,,,,LootDrop5,
52,don,0x100D201,LOOT_JUN_FK_REWARD_10,,h1_weapon_kit_icon_jun_don,ast,,,,,,,LootDrop5,
53,mud,0x100D203,LOOT_JUN_FK_REWARD_11,,h1_weapon_kit_icon_jun_mudder,lmg,,,,,,,LootDrop5,
54,liq,0x100D205,LOOT_JUN_FK_REWARD_12,,h1_weapon_kit_icon_jun_liquidator,sht,,,,,,,LootDrop5,
55,ndl,0x100D207,LOOT_JUN_FK_REWARD_13,,h1_weapon_kit_icon_jun_neanderthal,snp,,,,,,,LootDrop5,
56,rpr,0x100D209,LOOT_JUN_FK_REWARD_14,,h1_weapon_kit_icon_jun_reaper,smg,,,,,,,LootDrop5,
57,rlc,0x100D20B,LOOT_JUN_FK_REWARD_15,,h1_weapon_kit_icon_jun_relic,pst,,,,,,,LootDrop5,
58,spo,0x100D392,LOOT_AUG_ITEMSET_10_SPECOPS,,h1_weapon_kit_icon_aug_specops,pst,,,,,,,LootDrop6,
59,ctm,0x100D394,LOOT_AUG_ITEMSET_04_CENTERMASS,,h1_weapon_kit_icon_aug_centermass,ast,,,,,,,LootDrop6,
60,edr,0x100D396,LOOT_AUG_ITEMSET_05_ELDER,,h1_weapon_kit_icon_aug_elder,lmg,,,,,,,LootDrop6,
61,osd,0x100D398,LOOT_AUG_ITEMSET_06_OBSIDIAN,,h1_weapon_kit_icon_aug_obsidian,sht,,,,,,,LootDrop6,
62,gle,0x100D39A,LOOT_AUG_ITEMSET_07_GHILLIE,,h1_weapon_kit_icon_aug_ghillie,snp,,,,,,,LootDrop6,
63,uop,0x100D39C,LOOT_AUG_ITEMSET_08_URBANOPERATOR,,h1_weapon_kit_icon_aug_urbanoperator,smg,,,,,,,LootDrop6,
64,frd,0x100D39E,LOOT_AUG_ITEMSET_09_FIREDRAKE,,h1_weapon_kit_icon_aug_firedrake,ast,,,,,,,LootDrop6,
65,frt,0x100D3A0,LOOT_AUG_WKIT_01,,h1_weapon_kit_icon_aug_barber,sht,,,,,,,LootDrop6,
