col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,
ch_marksman_h1_uzi,CHALLENGE_MARKSMAN_UZI,CHALLENGE_MARKSMAN_DESC,,1,challenge_smg1,12,,,ch_prPurchase_h1_uzi,25,250,75,500,150,1000,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,1,category_attachment,,
ch_marksman_h1_m60e4,CHALLENGE_MARKSMAN_M60E4,CHALLENGE_MARKSMAN_DESC,,1,challenge_lmg1,18,,,ch_prPurchase_h1_m60e4,25,250,75,500,150,1000,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,1,category_attachment,,
ch_marksman_h1_rpd,CHALLENGE_MARKSMAN_RPD,CHALLENGE_MARKSMAN_DESC,,1,challenge_lmg1,4,,,,25,250,75,500,150,1000,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,1,category_attachment,,
ch_marksman_h1_saw,CHALLENGE_MARKSMAN_SAW,CHALLENGE_MARKSMAN_DESC,,1,challenge_lmg1,4,,,,25,250,75,500,150,1000,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,1,category_attachment,,
ch_marksman_h1_m1014,CHALLENGE_MARKSMAN_M1014,CHALLENGE_MARKSMAN_DESC,,1,challenge_shotgun1,30,,,ch_prPurchase_h1_m1014,25,250,50,500,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,1,category_attachment,,
ch_marksman_h1_winchester1200,CHALLENGE_MARKSMAN_W1200,CHALLENGE_MARKSMAN_DESC,,1,challenge_shotgun1,4,,,,25,250,50,500,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,1,category_attachment,,
ch_marksman_h1_barrett,CHALLENGE_MARKSMAN_BARRETT,CHALLENGE_MARKSMAN_DESC,,1,challenge_sniper1,48,,,ch_prPurchase_h1_barrett,100,1000,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,1,category_attachment,,
ch_marksman_h1_dragunov,CHALLENGE_MARKSMAN_DRAGUNOV,CHALLENGE_MARKSMAN_DESC,,1,challenge_sniper1,21,,,ch_prPurchase_h1_dragunov,100,1000,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,1,category_attachment,,
ch_marksman_h1_m21,CHALLENGE_MARKSMAN_M21,CHALLENGE_MARKSMAN_DESC,,1,challenge_sniper1,6,,,ch_prPurchase_h1_m21,100,1000,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,1,category_attachment,,
ch_marksman_h1_m40a3,CHALLENGE_MARKSMAN_M40A3,CHALLENGE_MARKSMAN_DESC,,1,challenge_sniper1,4,,,,100,1000,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,1,category_attachment,,
ch_marksman_h1_remington700,CHALLENGE_MARKSMAN_R700,CHALLENGE_MARKSMAN_DESC,,1,challenge_sniper1,33,,,ch_prPurchase_h1_remington700,100,1000,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,1,category_attachment,,
ch_expert_h1_ak47,CHALLENGE_EXPERT_AK47,CHALLENGE_EXPERT_DESC,,1,category_assault2,4,,,,25,250,75,500,150,1000,,,,,,,,,,,,,22,,,,,,,,,,,,,,,ch_h1_ak47_gold,,,category_weapons,,
ch_expert_h1_g3,CHALLENGE_EXPERT_G3,CHALLENGE_EXPERT_DESC,,1,category_assault2,24,,,ch_prPurchase_h1_g3,25,250,75,500,150,1000,,,,,,,,,,,,,23,,,,,,,,,,,,,,,ch_h1_g3_gold,,,category_weapons,,
ch_expert_h1_g36c,CHALLENGE_EXPERT_G36C,CHALLENGE_EXPERT_DESC,,1,category_assault2,36,,,ch_prPurchase_h1_g36c,25,250,75,500,150,1000,,,,,,,,,,,,,24,,,,,,,,,,,,,,,ch_h1_g36c_gold,,,category_weapons,,
ch_expert_h1_m14,CHALLENGE_EXPERT_M14,CHALLENGE_EXPERT_DESC,,1,category_assault2,45,,,ch_prPurchase_h1_m14,25,250,75,500,150,1000,,,,,,,,,,,,,25,,,,,,,,,,,,,,,ch_h1_m14_gold,,,category_weapons,,
ch_expert_h1_m16,CHALLENGE_EXPERT_M16,CHALLENGE_EXPERT_DESC,,1,category_assault2,4,,,,25,250,75,500,150,1000,,,,,,,,,,,,,26,,,,,,,,,,,,,,,ch_h1_m16_gold,,,category_weapons,,
ch_expert_h1_m4,CHALLENGE_EXPERT_M4,CHALLENGE_EXPERT_DESC,,1,category_assault2,9,,,ch_prPurchase_h1_m4,25,250,75,500,150,1000,,,,,,,,,,,,,27,,,,,,,,,,,,,,,ch_h1_m4_gold,,,category_weapons,,
ch_expert_h1_mp44,CHALLENGE_EXPERT_MP44,CHALLENGE_EXPERT_DESC,,1,category_assault2,51,,,ch_prPurchase_h1_mp44,25,250,75,500,150,1000,,,,,,,,,,,,,28,,,,,,,,,,,,,,,ch_h1_mp44_gold,,,category_weapons,,
ch_barebone_h1_ak47,CHALLENGE_BAREBONE_H1_AK47,CHALLENGE_BAREBONE_DESC,,1,category_assault2,0,ch_expert_h1_ak47,,,25,250,75,500,150,1000,,,,,,,,,,,,,29,,,,,,,,,,,,,,,ch_h1_ak47_gold,,,category_weapons,,
ch_barebone_h1_g3,CHALLENGE_BAREBONE_H1_G3,CHALLENGE_BAREBONE_DESC,,1,category_assault2,0,ch_expert_h1_g3,,,25,250,75,500,150,1000,,,,,,,,,,,,,30,,,,,,,,,,,,,,,ch_h1_g3_gold,,,category_weapons,,
ch_barebone_h1_g36c,CHALLENGE_BAREBONE_H1_G36C,CHALLENGE_BAREBONE_DESC,,1,category_assault2,0,ch_expert_h1_g36c,,,25,250,75,500,150,1000,,,,,,,,,,,,,31,,,,,,,,,,,,,,,ch_h1_g36c_gold,,,category_weapons,,
ch_barebone_h1_m14,CHALLENGE_BAREBONE_H1_M14,CHALLENGE_BAREBONE_DESC,,1,category_assault2,0,ch_expert_h1_m14,,,25,250,75,500,150,1000,,,,,,,,,,,,,32,,,,,,,,,,,,,,,ch_h1_m14_gold,,,category_weapons,,
ch_barebone_h1_m16,CHALLENGE_BAREBONE_H1_M16,CHALLENGE_BAREBONE_DESC,,1,category_assault2,0,ch_expert_h1_m16,,,25,250,75,500,150,1000,,,,,,,,,,,,,33,,,,,,,,,,,,,,,ch_h1_m16_gold,,,category_weapons,,
ch_barebone_h1_m4,CHALLENGE_BAREBONE_H1_M4,CHALLENGE_BAREBONE_DESC,,1,category_assault2,0,ch_expert_h1_m4,,,25,250,75,500,150,1000,,,,,,,,,,,,,34,,,,,,,,,,,,,,,ch_h1_m4_gold,,,category_weapons,,
ch_crouch_h1_mp44,CHALLENGE_CROUCH_H1_MP44,CHALLENGE_CROUCH_DESC,,1,category_assault2,0,ch_expert_h1_mp44,,,25,250,75,500,150,1000,,,,,,,,,,,,,35,,,,,,,,,,,,,,,ch_h1_mp44_gold,,,category_weapons,,
ch_reddot_h1_ak47,CHALLENGE_REDDOT_H1_AK47,CHALLENGE_REDDOT_DESC,,1,category_assault2,0,ch_barebone_h1_ak47,,,25,250,75,500,150,1000,,,,,,,,,,,,,36,,,,,,,,,,,,,,,ch_h1_ak47_gold,,,category_weapons,,
ch_reddot_h1_g3,CHALLENGE_REDDOT_H1_G3,CHALLENGE_REDDOT_DESC,,1,category_assault2,0,ch_barebone_h1_g3,,,25,250,75,500,150,1000,,,,,,,,,,,,,37,,,,,,,,,,,,,,,ch_h1_g3_gold,,,category_weapons,,
ch_reddot_h1_g36c,CHALLENGE_REDDOT_H1_G36C,CHALLENGE_REDDOT_DESC,,1,category_assault2,0,ch_barebone_h1_g36c,,,25,250,75,500,150,1000,,,,,,,,,,,,,38,,,,,,,,,,,,,,,ch_h1_g36c_gold,,,category_weapons,,
ch_reddot_h1_m14,CHALLENGE_REDDOT_H1_M14,CHALLENGE_REDDOT_DESC,,1,category_assault2,0,ch_barebone_h1_m14,,,25,250,75,500,150,1000,,,,,,,,,,,,,39,,,,,,,,,,,,,,,ch_h1_m14_gold,,,category_weapons,,
ch_reddot_h1_m16,CHALLENGE_REDDOT_H1_M16,CHALLENGE_REDDOT_DESC,,1,category_assault2,0,ch_barebone_h1_m16,,,25,250,75,500,150,1000,,,,,,,,,,,,,40,,,,,,,,,,,,,,,ch_h1_m16_gold,,,category_weapons,,
ch_reddot_h1_m4,CHALLENGE_REDDOT_H1_M4,CHALLENGE_REDDOT_DESC,,1,category_assault2,0,ch_barebone_h1_m4,,,25,250,75,500,150,1000,,,,,,,,,,,,,41,,,,,,,,,,,,,,,ch_h1_m4_gold,,,category_weapons,,
ch_prone_h1_mp44,CHALLENGE_PRONE_H1_MP44,CHALLENGE_PRONE_DESC,,1,category_assault2,0,ch_crouch_h1_mp44,,,25,250,75,500,150,1000,,,,,,,,,,,,,42,,,,,,,,,,,,,,,ch_h1_mp44_gold,,,category_weapons,,
ch_expert_h1_ak74u,CHALLENGE_EXPERT_AK74U,CHALLENGE_EXPERT_DESC,,1,category_smg2,27,,,ch_prPurchase_h1_ak74u,25,250,75,500,150,1000,,,,,,,,,,,,,43,,,,,,,,,,,,,,,ch_h1_ak74u_gold,,,category_weapons,,
ch_expert_h1_mp5,CHALLENGE_EXPERT_MP5,CHALLENGE_EXPERT_DESC,,1,category_smg2,4,,,,25,250,75,500,150,1000,,,,,,,,,,,,,44,,,,,,,,,,,,,,,ch_h1_mp5_gold,,,category_weapons,,
ch_expert_h1_p90,CHALLENGE_EXPERT_P90,CHALLENGE_EXPERT_DESC,,1,category_smg2,39,,,ch_prPurchase_h1_p90,25,250,75,500,150,1000,,,,,,,,,,,,,45,,,,,,,,,,,,,,,ch_h1_p90_gold,,,category_weapons,,
ch_expert_h1_skorpion,CHALLENGE_EXPERT_SKORPION,CHALLENGE_EXPERT_DESC,,1,category_smg2,4,,,,25,250,75,500,150,1000,,,,,,,,,,,,,46,,,,,,,,,,,,,,,ch_h1_skorpion_gold,,,category_weapons,,
ch_expert_h1_uzi,CHALLENGE_EXPERT_UZI,CHALLENGE_EXPERT_DESC,,1,category_smg2,12,,,ch_prPurchase_h1_uzi,25,250,75,500,150,1000,,,,,,,,,,,,,47,,,,,,,,,,,,,,,ch_h1_uzi_gold,,,category_weapons,,
ch_barebone_h1_ak74u,CHALLENGE_BAREBONE_H1_AK74U,CHALLENGE_BAREBONE_DESC,,1,category_smg2,0,ch_expert_h1_ak74u,,,25,250,75,500,150,1000,,,,,,,,,,,,,48,,,,,,,,,,,,,,,ch_h1_ak74u_gold,,,category_weapons,,
ch_barebone_h1_mp5,CHALLENGE_BAREBONE_H1_MP5,CHALLENGE_BAREBONE_DESC,,1,category_smg2,0,ch_expert_h1_mp5,,,25,250,75,500,150,1000,,,,,,,,,,,,,49,,,,,,,,,,,,,,,ch_h1_mp5_gold,,,category_weapons,,
ch_barebone_h1_p90,CHALLENGE_BAREBONE_H1_P90,CHALLENGE_BAREBONE_DESC,,1,category_smg2,0,ch_expert_h1_p90,,,25,250,75,500,150,1000,,,,,,,,,,,,,50,,,,,,,,,,,,,,,ch_h1_p90_gold,,,category_weapons,,
ch_barebone_h1_skorpion,CHALLENGE_BAREBONE_H1_SKORPION,CHALLENGE_BAREBONE_DESC,,1,category_smg2,0,ch_expert_h1_skorpion,,,25,250,75,500,150,1000,,,,,,,,,,,,,51,,,,,,,,,,,,,,,ch_h1_skorpion_gold,,,category_weapons,,
ch_barebone_h1_uzi,CHALLENGE_BAREBONE_H1_UZI,CHALLENGE_BAREBONE_DESC,,1,category_smg2,0,ch_expert_h1_uzi,,,25,250,75,500,150,1000,,,,,,,,,,,,,52,,,,,,,,,,,,,,,ch_h1_uzi_gold,,,category_weapons,,
ch_reddot_h1_ak74u,CHALLENGE_REDDOT_H1_AK74U,CHALLENGE_REDDOT_DESC,,1,category_smg2,0,ch_barebone_h1_ak74u,,,25,250,75,500,150,1000,,,,,,,,,,,,,53,,,,,,,,,,,,,,,ch_h1_ak74u_gold,,,category_weapons,,
ch_reddot_h1_mp5,CHALLENGE_REDDOT_H1_MP5,CHALLENGE_REDDOT_DESC,,1,category_smg2,0,ch_barebone_h1_mp5,,,25,250,75,500,150,1000,,,,,,,,,,,,,54,,,,,,,,,,,,,,,ch_h1_mp5_gold,,,category_weapons,,
ch_reddot_h1_p90,CHALLENGE_REDDOT_H1_P90,CHALLENGE_REDDOT_DESC,,1,category_smg2,0,ch_barebone_h1_p90,,,25,250,75,500,150,1000,,,,,,,,,,,,,55,,,,,,,,,,,,,,,ch_h1_p90_gold,,,category_weapons,,
ch_reddot_h1_skorpion,CHALLENGE_REDDOT_H1_SKORPION,CHALLENGE_REDDOT_DESC,,1,category_smg2,0,ch_barebone_h1_skorpion,,,25,250,75,500,150,1000,,,,,,,,,,,,,56,,,,,,,,,,,,,,,ch_h1_skorpion_gold,,,category_weapons,,
ch_reddot_h1_uzi,CHALLENGE_REDDOT_H1_UZI,CHALLENGE_REDDOT_DESC,,1,category_smg2,0,ch_barebone_h1_uzi,,,25,250,75,500,150,1000,,,,,,,,,,,,,57,,,,,,,,,,,,,,,ch_h1_uzi_gold,,,category_weapons,,
ch_expert_h1_m60e4,CHALLENGE_EXPERT_M60E4,CHALLENGE_EXPERT_DESC,,1,challenge_lmg2,18,,,ch_prPurchase_h1_m60e4,25,250,75,500,150,1000,,,,,,,,,,,,,58,,,,,,,,,,,,,,,ch_h1_m60e4_gold,,,category_weapons,,
ch_expert_h1_rpd,CHALLENGE_EXPERT_RPD,CHALLENGE_EXPERT_DESC,,1,challenge_lmg2,4,,,,25,250,75,500,150,1000,,,,,,,,,,,,,59,,,,,,,,,,,,,,,ch_h1_rpd_gold,,,category_weapons,,
ch_expert_h1_saw,CHALLENGE_EXPERT_SAW,CHALLENGE_EXPERT_DESC,,1,challenge_lmg2,4,,,,25,250,75,500,150,1000,,,,,,,,,,,,,60,,,,,,,,,,,,,,,ch_h1_saw_gold,,,category_weapons,,
ch_barebone_h1_m60e4,CHALLENGE_BAREBONE_H1_M60E4,CHALLENGE_BAREBONE_DESC,,1,challenge_lmg2,0,ch_expert_h1_m60e4,,,25,250,75,500,150,1000,,,,,,,,,,,,,61,,,,,,,,,,,,,,,ch_h1_m60e4_gold,,,category_weapons,,
ch_barebone_h1_rpd,CHALLENGE_BAREBONE_H1_RPD,CHALLENGE_BAREBONE_DESC,,1,challenge_lmg2,0,ch_expert_h1_rpd,,,25,250,75,500,150,1000,,,,,,,,,,,,,62,,,,,,,,,,,,,,,ch_h1_rpd_gold,,,category_weapons,,
ch_barebone_h1_saw,CHALLENGE_BAREBONE_H1_SAW,CHALLENGE_BAREBONE_DESC,,1,challenge_lmg2,0,ch_expert_h1_saw,,,25,250,75,500,150,1000,,,,,,,,,,,,,63,,,,,,,,,,,,,,,ch_h1_saw_gold,,,category_weapons,,
ch_reddot_h1_m60e4,CHALLENGE_REDDOT_H1_M60E4,CHALLENGE_REDDOT_DESC,,1,challenge_lmg2,0,ch_barebone_h1_m60e4,,,25,250,75,500,150,1000,,,,,,,,,,,,,64,,,,,,,,,,,,,,,ch_h1_m60e4_gold,,,category_weapons,,
ch_reddot_h1_rpd,CHALLENGE_REDDOT_H1_RPD,CHALLENGE_REDDOT_DESC,,1,challenge_lmg2,0,ch_barebone_h1_rpd,,,25,250,75,500,150,1000,,,,,,,,,,,,,65,,,,,,,,,,,,,,,ch_h1_rpd_gold,,,category_weapons,,
ch_reddot_h1_saw,CHALLENGE_REDDOT_H1_SAW,CHALLENGE_REDDOT_DESC,,1,challenge_lmg2,0,ch_barebone_h1_saw,,,25,250,75,500,150,1000,,,,,,,,,,,,,66,,,,,,,,,,,,,,,ch_h1_saw_gold,,,category_weapons,,
ch_expert_h1_m1014,CHALLENGE_EXPERT_M1014,CHALLENGE_EXPERT_DESC,,1,challenge_shotgun2,30,,,ch_prPurchase_h1_m1014,25,250,50,500,100,1000,,,,,,,,,,,,,67,,,,,,,,,,,,,,,ch_h1_m1014_gold,,,category_weapons,,
ch_expert_h1_winchester1200,CHALLENGE_EXPERT_W1200,CHALLENGE_EXPERT_DESC,,1,challenge_shotgun2,4,,,,25,250,50,500,100,1000,,,,,,,,,,,,,68,,,,,,,,,,,,,,,ch_h1_winchester1200_gold,,,category_weapons,,
ch_barebone_h1_m1014,CHALLENGE_BAREBONE_H1_M1014,CHALLENGE_BAREBONE_DESC,,1,challenge_shotgun2,0,ch_expert_h1_m1014,,,25,250,50,500,100,1000,,,,,,,,,,,,,69,,,,,,,,,,,,,,,ch_h1_m1014_gold,,,category_weapons,,
ch_barebone_h1_winchester1200,CHALLENGE_BAREBONE_H1_WINCHESTER1200,CHALLENGE_BAREBONE_DESC,,1,challenge_shotgun2,0,ch_expert_h1_winchester1200,,,25,250,50,500,100,1000,,,,,,,,,,,,,70,,,,,,,,,,,,,,,ch_h1_winchester1200_gold,,,category_weapons,,
ch_reddot_h1_m1014,CHALLENGE_REDDOT_H1_M1014,CHALLENGE_REDDOT_DESC,,1,challenge_shotgun2,0,ch_barebone_h1_m1014,,,25,250,50,500,100,1000,,,,,,,,,,,,,71,,,,,,,,,,,,,,,ch_h1_m1014_gold,,,category_weapons,,
ch_reddot_h1_winchester1200,CHALLENGE_REDDOT_H1_WINCHESTER1200,CHALLENGE_REDDOT_DESC,,1,challenge_shotgun2,0,ch_barebone_h1_winchester1200,,,25,250,50,500,100,1000,,,,,,,,,,,,,72,,,,,,,,,,,,,,,ch_h1_winchester1200_gold,,,category_weapons,,
ch_expert_h1_barrett,CHALLENGE_EXPERT_BARRETT,CHALLENGE_EXPERT_DESC,,1,challenge_sniper2,48,,,ch_prPurchase_h1_barrett,25,250,75,500,150,1000,,,,,,,,,,,,,73,,,,,,,,,,,,,,,ch_h1_barrett_gold,,,category_weapons,,
ch_expert_h1_dragunov,CHALLENGE_EXPERT_DRAGUNOV,CHALLENGE_EXPERT_DESC,,1,challenge_sniper2,21,,,ch_prPurchase_h1_dragunov,25,250,75,500,150,1000,,,,,,,,,,,,,74,,,,,,,,,,,,,,,ch_h1_dragunov_gold,,,category_weapons,,
ch_expert_h1_m21,CHALLENGE_EXPERT_M21,CHALLENGE_EXPERT_DESC,,1,challenge_sniper2,6,,,ch_prPurchase_h1_m21,25,250,75,500,150,1000,,,,,,,,,,,,,75,,,,,,,,,,,,,,,ch_h1_m21_gold,,,category_weapons,,
ch_expert_h1_m40a3,CHALLENGE_EXPERT_M40A3,CHALLENGE_EXPERT_DESC,,1,challenge_sniper2,4,,,,25,250,75,500,150,1000,,,,,,,,,,,,,76,,,,,,,,,,,,,,,ch_h1_m40a3_gold,,,category_weapons,,
ch_expert_h1_remington700,CHALLENGE_EXPERT_R700,CHALLENGE_EXPERT_DESC,,1,challenge_sniper2,33,,,ch_prPurchase_h1_remington700,25,250,75,500,150,1000,,,,,,,,,,,,,77,,,,,,,,,,,,,,,ch_h1_remington700_gold,,,category_weapons,,
ch_barebone_h1_barrett,CHALLENGE_BAREBONE_H1_BARRETT,CHALLENGE_BAREBONE_DESC,,1,challenge_sniper2,0,ch_expert_h1_barrett,,,25,250,75,500,150,1000,,,,,,,,,,,,,78,,,,,,,,,,,,,,,ch_h1_barrett_gold,,,category_weapons,,
ch_barebone_h1_dragunov,CHALLENGE_BAREBONE_H1_DRAGUNOV,CHALLENGE_BAREBONE_DESC,,1,challenge_sniper2,0,ch_expert_h1_dragunov,,,25,250,75,500,150,1000,,,,,,,,,,,,,79,,,,,,,,,,,,,,,ch_h1_dragunov_gold,,,category_weapons,,
ch_barebone_h1_m21,CHALLENGE_BAREBONE_H1_M21,CHALLENGE_BAREBONE_DESC,,1,challenge_sniper2,0,ch_expert_h1_m21,,,25,250,75,500,150,1000,,,,,,,,,,,,,80,,,,,,,,,,,,,,,ch_h1_m21_gold,,,category_weapons,,
ch_barebone_h1_m40a3,CHALLENGE_BAREBONE_H1_M40A3,CHALLENGE_BAREBONE_DESC,,1,challenge_sniper2,0,ch_expert_h1_m40a3,,,25,250,75,500,150,1000,,,,,,,,,,,,,81,,,,,,,,,,,,,,,ch_h1_m40a3_gold,,,category_weapons,,
ch_barebone_h1_remington700,CHALLENGE_BAREBONE_H1_REMINGTON700,CHALLENGE_BAREBONE_DESC,,1,challenge_sniper2,0,ch_expert_h1_remington700,,,25,250,75,500,150,1000,,,,,,,,,,,,,82,,,,,,,,,,,,,,,ch_h1_remington700_gold,,,category_weapons,,
ch_acog_h1_barrett,CHALLENGE_ACOG_H1_BARRETT,CHALLENGE_ACOG_DESC,,1,challenge_sniper2,0,ch_barebone_h1_barrett,,,25,250,75,500,150,1000,,,,,,,,,,,,,83,,,,,,,,,,,,,,,ch_h1_barrett_gold,,,category_weapons,,
ch_acog_h1_dragunov,CHALLENGE_ACOG_H1_DRAGUNOV,CHALLENGE_ACOG_DESC,,1,challenge_sniper2,0,ch_barebone_h1_dragunov,,,25,250,75,500,150,1000,,,,,,,,,,,,,84,,,,,,,,,,,,,,,ch_h1_dragunov_gold,,,category_weapons,,
ch_acog_h1_m21,CHALLENGE_ACOG_H1_M21,CHALLENGE_ACOG_DESC,,1,challenge_sniper2,0,ch_barebone_h1_m21,,,25,250,75,500,150,1000,,,,,,,,,,,,,85,,,,,,,,,,,,,,,ch_h1_m21_gold,,,category_weapons,,
ch_acog_h1_m40a3,CHALLENGE_ACOG_H1_M40A3,CHALLENGE_ACOG_DESC,,1,challenge_sniper2,0,ch_barebone_h1_m40a3,,,25,250,75,500,150,1000,,,,,,,,,,,,,86,,,,,,,,,,,,,,,ch_h1_m40a3_gold,,,category_weapons,,
ch_acog_h1_remington700,CHALLENGE_ACOG_H1_REMINGTON700,CHALLENGE_ACOG_DESC,,1,challenge_sniper2,0,ch_barebone_h1_remington700,,,25,250,75,500,150,1000,,,,,,,,,,,,,87,,,,,,,,,,,,,,,ch_h1_remington700_gold,,,category_weapons,,
ch_expert_h1_beretta,CHALLENGE_EXPERT_H1_BERETTA,CHALLENGE_EXPERT_DESC,,1,challenge_pistol2,4,,,,5,250,25,500,50,1000,,,,,,,,,,,,,88,,,,,,,,,,,,,,,ch_h1_beretta_gold,,,category_weapons,,
ch_expert_h1_colt45,CHALLENGE_EXPERT_H1_COLT45,CHALLENGE_EXPERT_DESC,,1,challenge_pistol2,15,,,ch_prPurchase_h1_colt45,5,250,25,500,50,1000,,,,,,,,,,,,,89,,,,,,,,,,,,,,,ch_h1_colt45_gold,,,category_weapons,,
ch_expert_h1_deserteagle,CHALLENGE_EXPERT_H1_DESERTEAGLE,CHALLENGE_EXPERT_DESC,,1,challenge_pistol2,42,,,ch_prPurchase_h1_deserteagle,5,250,25,500,50,1000,,,,,,,,,,,,,90,,,,,,,,,,,,,,,ch_h1_deserteagle_gold,,,category_weapons,,
ch_expert_h1_usp,CHALLENGE_EXPERT_H1_USP,CHALLENGE_EXPERT_DESC,,1,challenge_pistol2,4,,,,5,250,25,500,50,1000,,,,,,,,,,,,,91,,,,,,,,,,,,,,,ch_h1_usp_gold,,,category_weapons,,
ch_barebone_h1_beretta,CHALLENGE_BAREBONE_H1_BERETTA,CHALLENGE_BAREBONE_DESC,,1,challenge_pistol2,0,ch_expert_h1_beretta,,,5,250,25,500,50,1000,,,,,,,,,,,,,92,,,,,,,,,,,,,,,ch_h1_beretta_gold,,,category_weapons,,
ch_barebone_h1_colt45,CHALLENGE_BAREBONE_H1_COLT45,CHALLENGE_BAREBONE_DESC,,1,challenge_pistol2,0,ch_expert_h1_colt45,,,5,250,25,500,50,1000,,,,,,,,,,,,,93,,,,,,,,,,,,,,,ch_h1_colt45_gold,,,category_weapons,,
ch_crouch_h1_deserteagle,CHALLENGE_CROUCH_H1_DESERTEAGLE,CHALLENGE_CROUCH_DESC,,1,challenge_pistol2,0,ch_expert_h1_deserteagle,,,5,250,25,500,50,1000,,,,,,,,,,,,,94,,,,,,,,,,,,,,,ch_h1_deserteagle_gold,,,category_weapons,,
ch_barebone_h1_usp,CHALLENGE_BAREBONE_H1_USP,CHALLENGE_BAREBONE_DESC,,1,challenge_pistol2,0,ch_expert_h1_usp,,,5,250,25,500,50,1000,,,,,,,,,,,,,95,,,,,,,,,,,,,,,ch_h1_usp_gold,,,category_weapons,,
ch_silencer_h1_beretta,CHALLENGE_SILENCER_H1_BERETTA,CHALLENGE_SILENCER_DESC,,1,challenge_pistol2,0,ch_barebone_h1_beretta,,,5,250,25,500,50,1000,,,,,,,,,,,,,96,,,,,,,,,,,,,,,ch_h1_beretta_gold,,,category_weapons,,
