id,name,localizedStringID,content promo,reward,item 0,item 1,item 2,item 3,item 4,item 5,item 6,item 7,productionLevel,
40,itemset_dec_widowmaker,LOOT_DEC_ITEMSET_38_WIDOWMAKER,0,0x100C6BE,0x10087F4,0x10087F5,0x10087F6,0x1008BD9,0x1008BDA,0x1008FB7,0x10093A1,,LootDrop1,
41,itemset_jan_44_magnum,LOOT_JAN_ITEMSET_01_44_MAGNUM,0,0x100C6A0,0x1001A96,0x100457D,0x1005CFD,0x1008BDD,0x6300015,0x100D0BD,,,LootDrop2,
42,itemset_jan_aftermath,LOOT_JAN_ITEMSET_18_RADIATION,0,0x100C6B8,0x1008807,0x1008808,0x1008809,0x1008BE9,0x1008BEA,0x1008FBD,0x10093A8,,LootDrop2,
43,itemset_jan_astral,LOOT_JAN_ITEMSET_25_ASTRAL,0,0x100D0B0,0x100D0A9,0x100D0AA,0x100D0AB,0x100D0AC,0x100D0AD,0x100D0AE,0x100D0AF,,LootDrop2,
44,itemset_jan_bonehead,LOOT_JAN_ITEMSET_02_AIRBORNE,0,0x100C683,0x100591D,0x100591E,0x1005CFE,0x1005CFF,0x1005D00,0x10060DA,0x10064C2,,LootDrop2,
45,itemset_jan_battle_scarred,LOOT_JAN_ITEMSET_04_BATTLE_SCARRED,0,0x100C6C1,0x100225A,0x1003DAE,0x1005D01,0x10093A4,0x100B6D3,0x6300017,,,LootDrop2,
46,itemset_jan_comic,LOOT_JAN_ITEMSET_05_CARTOON,0,0x100C671,0x1001A97,0x1001A98,0x1001E7F,0x1001E80,0x1001E81,0x100225B,0x1002640,,LootDrop2,
47,itemset_jan_czar,LOOT_JAN_ITEMSET_23_TIGER,0,0x100C6D2,0x1001A9F,0x10039CD,0x10060DE,0x1008BEB,0x100C282,0x6300018,,,LootDrop2,
48,itemset_jan_diablo,LOOT_JAN_ITEMSET_06_DIABLO,0,0x100C6AD,0x10087FE,0x10087FF,0x1008800,0x1008BE0,0x1008BE1,0x1008FBA,0x10093A5,,LootDrop2,
49,itemset_jan_funhouse,LOOT_JAN_ITEMSET_03_BAD_DAY,0,0x100C6AB,0x10087FB,0x10087FC,0x10087FD,0x1008BDE,0x1008BDF,0x1008FB9,0x10093A3,,LootDrop2,
50,itemset_jan_gladiator,LOOT_JAN_ITEMSET_09_GLADIATOR,0,0x100C69D,0x1005921,0x100D0A5,0x100D0A6,0x100D0A7,0x100D0A8,0x6300016,,,LootDrop2,
51,itemset_jan_hardpoint,LOOT_JAN_ITEMSET_07_DIAMOND,0,0x100C687,0x100591F,0x1005920,0x1005D02,0x1005D03,0x1005D04,0x10060DB,0x10064C3,,LootDrop2,
52,itemset_jan_hatchetman,LOOT_JAN_ITEMSET_10_HATCHETMAN,0,0x100C698,0x1001A99,0x100457E,0x1005D08,0x1008BE5,0x100B6D4,0x630001C,,,LootDrop2,
53,itemset_jan_hunter,LOOT_JAN_ITEMSET_12_HUNTER,0,0x100C6B3,0x1008803,0x1008804,0x1008805,0x1008BE6,0x1008BE7,0x1008FBC,0x10093A7,,LootDrop2,
54,itemset_jan_huntsman,LOOT_JAN_ITEMSET_13_HUNTSMAN,0,0x100C6CF,0x1001A9A,0x1003DAF,0x1005925,0x1008BE8,0x100BE97,0x630001A,,,LootDrop2,
55,itemset_jan_judge,LOOT_JAN_ITEMSET_14_JUDGE,0,0x100C6D7,0x100B6D5,0x100B6D6,0x100BAB8,0x100BAB9,0x100BABA,0x100BE98,0x100C27E,,LootDrop2,
56,itemset_jan_kamchatka,LOOT_JAN_ITEMSET_26_KAMCHATKA,0,0x100C6A3,0x100D09B,0x100D09D,0x100D09F,0x100D0A1,0x100D0A3,0x6300013,0x100745A,,LootDrop2,
57,itemset_jan_lawman,LOOT_JAN_ITEMSET_16_LAWMAN,0,0x100C6D1,0x1001E82,0x10039CB,0x10064C6,0x1008806,0x100BABE,0x630001B,,,LootDrop2,
58,itemset_jan_mythic,LOOT_JAN_ITEMSET_17_MYTHIC,0,0x100C677,0x1001A9B,0x1001A9C,0x1001E83,0x1001E84,0x1001E85,0x100225C,0x1002641,,LootDrop2,
59,itemset_jan_piercing,LOOT_JAN_ITEMSET_11_HORNET,0,0x100C68D,0x1005923,0x1005924,0x1005D09,0x1005D0A,0x1005D0B,0x10060DD,0x10064C5,,LootDrop2,
60,itemset_jan_shuriken,LOOT_JAN_ITEMSET_15_KANJI,0,0x100C6D8,0x100B6D7,0x100B6D8,0x100BABB,0x100BABC,0x100BABD,0x100BE99,0x100C27F,,LootDrop2,
61,itemset_jan_spartan,LOOT_JAN_ITEMSET_20_SPARTAN,0,0x100C6DB,0x100B6DA,0x100B6DB,0x100BABF,0x100BAC0,0x100BAC1,0x100BE9A,0x100C280,,LootDrop2,
62,itemset_jan_sportsman,LOOT_JAN_ITEMSET_21_SPORTSMAN,0,0x100C67B,0x1001A9D,0x1001A9E,0x1001E86,0x1001E87,0x1001E88,0x100225D,0x1002643,,LootDrop2,
63,itemset_jan_supreme,LOOT_JAN_ITEMSET_22_SUPREME,0,0x100C6DC,0x100B6DC,0x100B6DD,0x100BAC2,0x100BAC3,0x100BAC4,0x100BE9B,0x100C281,,LootDrop2,
64,itemset_jan_xmlar,LOOT_JAN_ITEMSET_24_XMLAR,0,0x100C6A8,0x100D09C,0x100D09E,0x100D0A0,0x100D0A2,0x100D0A4,0x6300014,,,LootDrop2,
65,itemset_feb_amoeba,LOOT_FEB_ITEMSET_01_AMOEBA,0,0x100C6A9,0x100880A,0x100880B,0x1008BEC,0x1008BED,0x1008BEE,0x1008FBF,0x10093A9,,LootDrop3,
66,itemset_feb_boss,LOOT_FEB_ITEMSET_02_BOSS,0,0x100D0B3,0x1001AA0,0x10039CE,0x1005D0D,0x1008BEF,0x6300029,0x100C69E,,,LootDrop3,
67,itemset_feb_challenger,LOOT_FEB_ITEMSET_03_CHALLENGER,0,0x100C6E1,0x1001AA1,0x1003DB0,0x1005926,0x1008FC0,0x100B6DE,0x6300022,,,LootDrop3,
68,itemset_feb_dominator,LOOT_FEB_ITEMSET_04_DOMINATOR,0,0x100C688,0x1005927,0x1005928,0x1005D0E,0x1005D0F,0x1005D10,0x10060DF,0x10064C7,,LootDrop3,
69,itemset_feb_elite,LOOT_FEB_ITEMSET_05_ELITE,0,0x100C6AF,0x100880C,0x100880D,0x1008BF0,0x1008BF1,0x1008FC1,0x10093AA,0x10093AB,,LootDrop3,
70,itemset_feb_equalizer,LOOT_FEB_ITEMSET_06_EQUALIZER,0,0x100C6E9,0x1001E89,0x1005929,0x1008BF2,0x100B6DF,0x100D11B,0x630002C,,,LootDrop3,
71,itemset_feb_evolution,LOOT_FEB_ITEMSET_07_EVOLUTION,0,0x100C674,0x1001AA2,0x1001AA3,0x1001E8A,0x1001E8B,0x1001E8C,0x100225E,0x1002644,,LootDrop3,
72,itemset_feb_frag,LOOT_FEB_ITEMSET_08_FRAG,0,0x100C6E6,0x1001E8D,0x100592A,0x100880E,0x100B6E0,0x100D114,0x630002A,,,LootDrop3,
73,itemset_feb_gung_ho,LOOT_FEB_ITEMSET_09_GUNG_HO,0,0x100C68B,0x100592B,0x100592C,0x1005D11,0x1005D12,0x1005D13,0x10060E0,0x10064C8,,LootDrop3,
74,itemset_feb_ironsmith,LOOT_FEB_ITEMSET_10_IRONSMITH,0,0x100C6D6,0x100B6E1,0x100B6E2,0x100BAC5,0x100BAC6,0x100BAC7,0x100BE9C,0x100C283,,LootDrop3,
75,itemset_feb_killshot,LOOT_FEB_ITEMSET_11_KILLSHOT,0,0x100C6E3,0x1001AA4,0x1003DB1,0x100592D,0x1008BF3,0x100BE9D,0x6300027,,,LootDrop3,
76,itemset_feb_kingpin,LOOT_FEB_ITEMSET_13_KINGPIN,0,0x100C6C7,0x1001AA6,0x1004192,0x100592F,0x10093AD,0x100B6E4,0x6300028,,,LootDrop3,
77,itemset_feb_mac_10,LOOT_FEB_ITEMSET_14_MAC_10,0,0x100C6A4,0x1001E8E,0x1003DB3,0x1005930,0x10093AE,0x100B6E5,0x6300021,,,LootDrop3,
78,itemset_feb_marksman,LOOT_FEB_ITEMSET_15_MARKSMAN,0,0x100C6E7,0x1002645,0x1005931,0x1008FC2,0x100BAC8,0x100D113,0x630002B,,,LootDrop3,
79,itemset_feb_mars_animated,LOOT_FEB_ITEMSET_16_MARS_ANIMATED,0,0x100C6B4,0x100880F,0x1008810,0x1008811,0x1008BF4,0x1008BF5,0x1008FC3,0x10093AF,,LootDrop3,
80,itemset_feb_masterblaster,LOOT_FEB_ITEMSET_17_MASTERBLASTER,0,0x100D0C1,0x1001AA7,0x1003DB4,0x1005932,0x10093B0,0x100B6E6,0x6300026,,,LootDrop3,
81,itemset_feb_masterpiece,LOOT_FEB_ITEMSET_18_MASTERPIECE,0,0x100C6EA,0x1001E8F,0x1005933,0x1008812,0x100BE9E,0x100D115,0x630002F,,,LootDrop3,
82,itemset_feb_mechanic,LOOT_FEB_ITEMSET_19_MECHANIC,0,0x100745B,0x1002646,0x10039CF,0x1005D14,0x1008813,0x100B6E7,0x6300024,,,LootDrop3,
83,itemset_feb_minerva,LOOT_FEB_ITEMSET_20_MINERVA,0,0x100C6B5,0x1008814,0x1008815,0x1008816,0x1008BF6,0x1008BF7,0x1008FC4,0x10093B1,,LootDrop3,
84,itemset_feb_n00btuber,LOOT_FEB_ITEMSET_21_N00BTUBER,0,0x100C6E4,0x1002647,0x1005934,0x1008817,0x100BAC9,0x100D116,0x6300025,,,LootDrop3,
85,itemset_feb_pkm,LOOT_FEB_ITEMSET_22_PKM,0,0x100C6A5,0x1001AA8,0x1004193,0x1005935,0x1008BF8,0x100BACA,0x630001F,,,LootDrop3,
86,itemset_feb_reflex,LOOT_FEB_ITEMSET_23_REFLEX,0,0x100C6E8,0x1001AA9,0x1005936,0x1008BF9,0x100B6E8,0x100D117,0x6300012,,,LootDrop3,
87,itemset_feb_reptile,LOOT_FEB_ITEMSET_24_REPTILE,0,0x100C6BA,0x1008818,0x1008819,0x1008BFA,0x1008BFB,0x1008BFC,0x1008FC5,0x10093B2,,LootDrop3,
88,itemset_feb_samurai,LOOT_FEB_ITEMSET_25_SAMURAI,0,0x100C69A,0x1001AAA,0x10039D0,0x1005D15,0x1008FC6,0x100C284,0x6300023,,,LootDrop3,
89,itemset_feb_squad,LOOT_FEB_ITEMSET_26_SQUAD,0,0x100C691,0x1005937,0x1005938,0x1005D16,0x1005D17,0x1005D18,0x10060E1,0x10064C9,,LootDrop3,
90,itemset_feb_sting,LOOT_FEB_ITEMSET_27_STING,0,0x100C6EC,0x1002648,0x1005939,0x1008FC7,0x100BACB,0x100D11A,0x630002D,,,LootDrop3,
91,itemset_feb_striker,LOOT_FEB_ITEMSET_28_STRIKER,1,0x6300032,0x1001E90,0x10039D1,0x10060E2,0x10093B3,0x100BACC,0x100C699,,,LootDrop3,
92,itemset_feb_sword,LOOT_FEB_ITEMSET_29_SWORD,0,0x100C692,0x100593A,0x100593B,0x1005D19,0x1005D1A,0x1005D1B,0x10060E3,0x10064CA,,LootDrop3,
93,itemset_feb_titanium,LOOT_FEB_ITEMSET_30_TITANIUM,0,0x100C6E5,0x1001AAB,0x1005D1C,0x100881A,0x100C285,0x100D118,0x6300019,,,LootDrop3,
94,itemset_feb_trooper,LOOT_FEB_ITEMSET_31_TROOPER,0,0x100C67D,0x1001AAC,0x1001AAD,0x1001E91,0x1001E92,0x1001E93,0x100225F,0x1002649,,LootDrop3,
95,itemset_feb_ultraviolet,LOOT_FEB_ITEMSET_32_ULTRAVIOLET,0,0x100C6EB,0x1001AAE,0x1005D1D,0x100881B,0x100BE9F,0x100D119,0x630002E,,,LootDrop3,
96,itemset_feb_urban_decay,LOOT_FEB_ITEMSET_33_URBAN_DECAY,0,0x100C6BD,0x100881C,0x100881D,0x1008BFD,0x1008BFE,0x1008BFF,0x1008FC8,0x10093B4,,LootDrop3,
97,itemset_feb_vss_vintorez,LOOT_FEB_ITEMSET_34_VSS_VINTOREZ,0,0x100C6A7,0x1001AAF,0x10039D2,0x10064CB,0x1008C00,0x100B6E9,0x6300020,,,LootDrop3,
98,itemset_feb_wartorn,LOOT_FEB_ITEMSET_35_WARTORN,0,0x100C6E2,0x1002260,0x1003DB5,0x100593C,0x10093B5,0x100BACD,0x6300030,,,LootDrop3,
99,itemset_feb_wicked,LOOT_FEB_ITEMSET_36_WICKED,0,0x100C67F,0x1001AB0,0x1001AB1,0x1001E94,0x1001E95,0x1001E96,0x1002261,0x100264A,,LootDrop3,
100,itemset_apr_caveman,LOOT_APR_ITEMSET_02_CAVEMAN,0,0x1007072,0x1001AB3,0x1004194,0x1005D1F,0x100881E,0x100B6EA,0x6300036,0x100D16C,,LootDrop4,
101,itemset_apr_diabolical,LOOT_APR_ITEMSET_03_DIABOLICAL,0,0x100C696,0x1001AB4,0x1003DB6,0x10060E4,0x10093B6,0x100BACE,0x6300035,,,LootDrop4,
102,itemset_apr_grotesque,LOOT_APR_ITEMSET_07_GROTESQUE,0,0x100C675,0x1001AB6,0x1001AB7,0x1001E97,0x1001E98,0x1001E99,0x1002262,0x100264C,,LootDrop4,
103,itemset_apr_peacekeeper,LOOT_APR_ITEMSET_08_HIGH_NOON,0,0x100D15E,0x1001E9A,0x1004195,0x100593F,0x10093B8,0x100B6EB,0x630003D,,,LootDrop4,
104,itemset_apr_high_tech,LOOT_APR_ITEMSET_09_HIGH_TECH,0,0x100C6B2,0x1008822,0x1008823,0x1008C05,0x1008C06,0x1008C07,0x1008FCB,0x10093B9,,LootDrop4,
105,itemset_apr_operator,LOOT_APR_ITEMSET_13_OPERATOR,0,0x100C6B6,0x1008824,0x1008825,0x1008C09,0x1008C0A,0x1008C0B,0x1008FCC,0x10093BB,,LootDrop4,
106,itemset_apr_phalanx,LOOT_APR_ITEMSET_14_PHALANX,0,0x100D160,0x1001AB8,0x1005D23,0x1008826,0x100C286,0x100D15D,0x6300039,,,LootDrop4,
107,itemset_apr_rebel,LOOT_APR_ITEMSET_16_REBEL,0,0x100C6B9,0x1008827,0x1008828,0x1008C0C,0x1008C0D,0x1008C0E,0x1008FCD,0x10093BC,,LootDrop4,
108,itemset_apr_rogue,LOOT_APR_ITEMSET_17_ROGUE,0,0x100C678,0x1001AB9,0x1001ABA,0x1001E9D,0x1001E9E,0x1001E9F,0x1002263,0x100264D,,LootDrop4,
109,itemset_apr_sawtooth,LOOT_APR_ITEMSET_18_SAWTOOTH,0,0x100C69B,0x1002264,0x10039D4,0x1005D27,0x1008C0F,0x100C287,0x630003E,,,LootDrop4,
110,itemset_apr_slapstick,LOOT_APR_ITEMSET_20_SLAPSTICK,0,0x100C67A,0x1001ABB,0x1001ABC,0x1001EA0,0x1001EA1,0x1001EA2,0x1002265,0x100264F,,LootDrop4,
111,itemset_apr_tactical,LOOT_APR_ITEMSET_21_TACTICAL,0,0x100D168,0x1001ABD,0x1003DB8,0x1005D28,0x1008829,0x100B6EE,0x630003C,,,LootDrop4,
112,itemset_apr_urban_warfare,LOOT_APR_ITEMSET_23_URBAN_WARFARE,0,0x100D162,0x1001ABF,0x1005948,0x100882A,0x100BAD2,0x100D157,0x6300034,,,LootDrop4,
113,itemset_feb_standoff,LOOT_FEB_ITEMSET_37_STANDOFF,0,0x100D0C9,0x100D0C2,0x100D0C3,0x100D0C4,0x100D0C5,0x100D0C6,0x100D0C7,0x100D0C8,,LootDrop3,
114,itemset_feb_angle,LOOT_FEB_ITEMSET_38_ANGLE,0,0x100D0E4,0x100D0DD,0x100D0DE,0x100D0DF,0x100D0E0,0x100D0E1,0x100D0E2,0x100D0E3,,LootDrop3,
115,itemset_feb_bent,LOOT_FEB_ITEMSET_39_BENT,0,0x100D0D2,0x100D0CB,0x100D0CC,0x100D0CD,0x100D0CE,0x100D0CF,0x100D0D0,0x100D0D1,,LootDrop3,
116,itemset_feb_vortex,LOOT_FEB_ITEMSET_40_VORTEX,0,0x100D0DB,0x100D0D4,0x100D0D5,0x100D0D6,0x100D0D7,0x100D0D8,0x100D0D9,0x100D0DA,,LootDrop3,
117,itemset_feb_emoji,LOOT_FEB_ITEMSET_41_EMOJI,0,0x100D0EE,0x100D0E7,0x100D0E8,0x100D0E9,0x100D0EA,0x100D0EB,0x100D0EC,0x100D0ED,,LootDrop3,
118,itemset_feb_warface,LOOT_FEB_ITEMSET_42_WARFACE,0,0x100D0F7,0x100D0F0,0x100D0F1,0x100D0F2,0x100D0F3,0x100D0F4,0x100D0F5,0x100D0F6,,LootDrop3,
119,itemset_feb_revolution,LOOT_FEB_ITEMSET_43_REVOLUTION,0,0x100D123,0x100D11C,0x100D11D,0x100D11E,0x100D11F,0x100D120,0x100D121,0x100D122,,LootDrop3,
120,itemset_feb_leprechaun,LOOT_FEB_ITEMSET_44_LEPRECHAUN,1,0x100D101,0x100D125,0x100D127,0x100D131,0x100D132,0x100D133,0x100D134,,,LootDrop3,
121,itemset_feb_potogold,LOOT_FEB_ITEMSET_45_POTOGOLD,1,0x100D12F,0x100D128,0x100D129,0x100D12A,0x100D12B,0x100D12C,0x100D12D,0x100D12E,,LootDrop3,
122,itemset_apr_bos14,LOOT_APR_ITEMSET_04_BOS14,0,0x100C6A1,0x100D143,0x100D15A,0x100D171,0x100D17F,0x100D184,0x630003A,,,LootDrop4,
123,itemset_apr_fang45,LOOT_APR_ITEMSET_12_FANG45,0,0x100C6A2,0x100D142,0x100D15B,0x100D172,0x100D180,0x100D185,0x630003F,,,LootDrop4,
124,itemset_apr_prokolot,LOOT_APR_ITEMSET_01_PROKOLOT,0,0x100C69F,0x100D15C,0x100D173,0x100D181,0x100C694,0x630003B,0x100D186,,,LootDrop4,
125,itemset_apr_focal,LOOT_APR_ITEMSET_24_FOCAL,0,0x100D14B,0x100D144,0x100D145,0x100D146,0x100D147,0x100D148,0x100D149,0x100D14A,,LootDrop4,
126,itemset_apr_facet,LOOT_APR_ITEMSET_25_FACET,0,0x100D154,0x100D14D,0x100D14E,0x100D14F,0x100D150,0x100D151,0x100D152,0x100D153,,LootDrop4,
127,itemset_apr_battletested,LOOT_APR_ITEMSET_06_BATTLETESTED,0,0x100D16A,0x100D159,0x100D16E,0x100D170,0x100D17E,0x100D183,0x6300038,,,LootDrop4,
128,itemset_apr_kingfish,LOOT_APR_ITEMSET_26_KINGFISH,0,0x100D166,0x1001AA5,0x1003DB2,0x100592E,0x10093AC,0x100B6E3,0x6300037,,,LootDrop4,
129,itemset_apr_fieldtested,LOOT_APR_ITEMSET_27_FIELDTESTED,0,0x100D164,0x100D158,0x100D16D,0x100D16F,0x100D17D,0x100D182,0x6300033,,,LootDrop4,
130,itemset_apr_geist,LOOT_APR_ITEMSET_28_GEIST,0,0x100D17B,0x100D174,0x100D175,0x100D176,0x100D177,0x100D178,0x100D179,0x100D17A,,LootDrop4,
131,itemset_apr_allin,LOOT_APR_ITEMSET_29_ALLIN,0,0x100D18E,0x100D187,0x100D188,0x100D189,0x100D18A,0x100D18B,0x100D18C,0x100D18D,,LootDrop4,
132,itemset_apr_impact,LOOT_APR_ITEMSET_30_IMPACT,0,0x100D197,0x100D190,0x100D191,0x100D192,0x100D193,0x100D194,0x100D195,0x100D196,,LootDrop4,
133,itemset_apr_spectral,LOOT_APR_ITEMSET_31_SPECTRAL,0,0x100D1A0,0x100D199,0x100D19A,0x100D19B,0x100D19C,0x100D19D,0x100D19E,0x100D19F,,LootDrop4,
