zone_names,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,,
hard_occlusion,vehicles,600,highshelf,-12,1,,,,,
hard_occlusion,air_vehicles,800,highshelf,-12,1,,,,,
hard_occlusion,voices,600,highshelf,-12,1,,,,,
hard_occlusion,animals,600,highshelf,-12,1,,,,,
hard_occlusion,physics,600,highshelf,-12,1,,,,,
hard_occlusion,battlechatter,600,highshelf,-12,1,,,,,
hard_occlusion,scripted,800,highshelf,-12,1,,,,,
hard_occlusion,scripted1,800,highshelf,-12,1,,,,,
hard_occlusion,scripted2,800,highshelf,-12,1,,,,,
hard_occlusion,scripted3,800,highshelf,-12,1,,,,,
hard_occlusion,scripted4,800,highshelf,-12,1,,,,,
hard_occlusion,scripted5,800,highshelf,-12,1,,,,,
med_occlusion,unoccluded,20000,highshelf,-1,1,,,,,
med_occlusion,default,800,highshelf,-10,1,,,,,
med_occlusion,weapons,800,highshelf,-10,1,,,,,
med_occlusion,emitters,300,highshelf,-10,1,,,,,
med_occlusion,foley,800,highshelf,-10,1,,,,,
med_occlusion,explosions,1500,highshelf,-10,1,,,,,
med_occlusion,tactical,1200,highshelf,-10,1,,,,,
med_occlusion,vehicles,800,highshelf,-10,1,,,,,
med_occlusion,air_vehicles,1500,highshelf,-10,1,,,,,
med_occlusion,voices,800,highshelf,-10,1,,,,,
med_occlusion,animals,800,highshelf,-10,1,,,,,
med_occlusion,physics,800,highshelf,-10,1,,,,,
med_occlusion,battlechatter,800,highshelf,-10,1,,,,,
med_occlusion,scripted,800,highshelf,-10,1,,,,,
med_occlusion,scripted1,800,highshelf,-10,1,,,,,
med_occlusion,scripted2,800,highshelf,-10,1,,,,,
med_occlusion,scripted3,800,highshelf,-10,1,,,,,
med_occlusion,scripted4,800,highshelf,-10,1,,,,,
med_occlusion,scripted5,800,highshelf,-10,1,,,,,
soft_occlusion,unoccluded,20000,highshelf,-1,0.05,,,,,
soft_occlusion,default,1200,highshelf,-6,0.05,,,,,
soft_occlusion,weapons,1200,highshelf,-6,0.05,,,,,
soft_occlusion,emitters,1200,highshelf,-6,0.05,,,,,
soft_occlusion,foley,1200,highshelf,-6,0.05,,,,,
soft_occlusion,explosions,2500,highshelf,-6,0.05,,,,,
soft_occlusion,tactical,1500,highshelf,-6,0.05,,,,,
soft_occlusion,vehicles,1200,highshelf,-6,0.05,,,,,
soft_occlusion,air_vehicles,2000,highshelf,-6,0.05,,,,,
soft_occlusion,voices,1200,highshelf,-6,0.05,,,,,
soft_occlusion,animals,1200,highshelf,-6,0.05,,,,,
soft_occlusion,physics,1200,highshelf,-6,0.05,,,,,
soft_occlusion,battlechatter,1200,highshelf,-6,0.05,,,,,
soft_occlusion,scripted,800,highshelf,-6,0.05,,,,,
soft_occlusion,scripted1,800,highshelf,-6,0.05,,,,,
soft_occlusion,scripted2,800,highshelf,-6,0.05,,,,,
soft_occlusion,scripted3,800,highshelf,-6,0.05,,,,,
soft_occlusion,scripted4,800,highshelf,-6,0.05,,,,,
soft_occlusion,scripted5,800,highshelf,-6,0.05,,,,,
no_occlusion,default,20000,highshelf,-3,1,,,,,
no_occlusion,weapons,20000,highshelf,-3,1,,,,,
no_occlusion,emitters,20000,highshelf,-3,1,,,,,
no_occlusion,foley,20000,highshelf,-3,1,,,,,
no_occlusion,explosions,20000,highshelf,-3,1,,,,,
no_occlusion,vehicles,20000,highshelf,-3,1,,,,,
no_occlusion,air_vehicles,20000,highshelf,-3,1,,,,,
no_occlusion,voices,20000,highshelf,-3,1,,,,,
no_occlusion,animals,20000,highshelf,-3,1,,,,,
no_occlusion,physics,20000,highshelf,-3,1,,,,,
no_occlusion,battlechatter,20000,highshelf,-3,1,,,,,
no_occlusion,scripted,800,highshelf,-3,1,,,,,
no_occlusion,scripted1,800,highshelf,-3,1,,,,,
no_occlusion,scripted2,800,highshelf,-3,1,,,,,
no_occlusion,scripted3,800,highshelf,-3,1,,,,,
no_occlusion,scripted4,800,highshelf,-3,1,,,,,
no_occlusion,scripted5,800,highshelf,-3,1,,,,,
timescale_names,dsp_bus_name,scalefactor,,,,,,,,
dynamic_component,alias,first_event_time_min,first_event_time_max,event_time_min,event_time_max,range_min,range_max,cone_min,cone_max,
dynamic_ambience_names,components,,,,,,,,,
mix_names,volmod,value,fadein,fadeout,,,,,,
mp_init_mix,mp_pre_event,1,0.1,0.1,,,,,,
mp_init_mix,mp_post_event,1,0.1,0.1,,,,,,
mp_init_mix,wpn_npc_shot,0.8913,0.1,0.1,,,,,,
mp_init_mix,wpn_npc_dist,1.0715,0.1,0.1,,,,,,
mp_init_mix,wpn_npc_tail,0.7943,0.1,0.1,,,,,,
mp_init_mix,wpn_plr_shot_special,1.2,0.1,0.1,,,,,,
mp_init_mix,wpn_plr_sub,1,0.1,0.1,,,,,,
mp_init_mix,explosion_grenade,1.3,0.1,0.1,,,,,,
mp_init_mix,explosion_rocket,1.3,0.1,0.1,,,,,,
mp_init_mix,footstep_plr,0.8,0.1,0.1,,,,,,
mp_init_mix,tactical_plr_special,0.8,0.1,0.1,,,,,,
mp_init_mix,bullet_impact_geo,1.1,0.1,0.1,,,,,,
mp_init_mix,bullet_whizby,0.9,0.1,0.1,,,,,,
mp_init_mix,bullet_impact_plr,1,0.1,0.1,,,,,,
mp_init_mix,footstep_npc,1.1,0.1,0.1,,,,,,
mp_init_mix,grenadebounce,1.4,0.1,0.1,,,,,,
mp_pre_event_mix,mp_pre_event,1,0.2,0.2,,,,,,
mp_pre_event_mix,mp_post_event,0,0.2,0.2,,,,,,
mp_post_event_mix,mp_pre_event,0,0.2,0.2,,,,,,
mp_post_event_mix,mp_post_event,1,0.2,0.2,,,,,,
mp_ext_zone_mix,amb_emitter_int,0.1,0.3,0.3,,,,,,
mp_ext_zone_mix,amb_emitter_ext,1,0.3,0.3,,,,,,
mp_int_zone_mix,amb_emitter_int,1,0.3,0.3,,,,,,
mp_int_zone_mix,amb_emitter_ext,0.1,0.3,0.3,,,,,,
mp_no_foley,foley_plr,0,0.1,,,,,,,
mp_no_foley,mp_foley_plr,0,0.1,,,,,,,
mp_no_foley,foley_plr_special,0,0.1,,,,,,,
mp_no_foley,footstep_plr,0,0.1,,,,,,,
mp_no_foley,footstep_plr_special,0,0.1,,,,,,,
mp_no_foley,footstep_npc,0,0.1,,,,,,,
mute_all,set_all,0,,,,,,,,
unmute_all,set_all,1,,,,,,,,
debug_solo_foley,set_all,0,0.1,0.1,,,,,,
debug_solo_foley,foley_plr,1,0.1,0.1,,,,,,
debug_solo_footstep,set_all,0,0.1,0.1,,,,,,
debug_solo_footstep,footstep_plr,1,0.1,0.1,,,,,,
debug_solo_whizby,set_all,0,0.1,0.1,,,,,,
debug_solo_whizby,bullet_whizby,1,0.1,0.1,,,,,,
debug_solo_impact,set_all,0,0.1,0.1,,,,,,
debug_solo_impact,bullet_impact_geo,1,0.1,0.1,,,,,,
debug_solo_vehicles,set_all,0,,,,,,,,
debug_solo_vehicles,vehicle_plr,1,,,,,,,,
debug_solo_vehicles,vehicle_npc,1,,,,,,,,
debug_solo_vehicles,vehicle,1,,,,,,,,
debug_solo_vehicles,vehicle_pdrone,1,,,,,,,,
debug_solo_vehicles,vehicle_amb,1,,,,,,,,
debug_solo_vehicle_plr,set_all,0,0.5,0.5,,,,,,
debug_solo_vehicle_plr,vehicle_plr,1,0.5,0.5,,,,,,
debug_solo_music,set_all,0,0.05,0.05,,,,,,
debug_solo_music,frontend_music,1,,,,,,,,
debug_solo_music,music,1,,,,,,,,
debug_solo_music,music_big,1,,,,,,,,
debug_solo_music,music_emitter,1,,,,,,,,
debug_mute_music,frontend_music,0,,,,,,,,
debug_mute_music,music,0,,,,,,,,
debug_mute_music,music_big,0,,,,,,,,
debug_mute_music,music_emitter,0,,,,,,,,
debug_solo_vo,set_all,0,,,,,,,,
debug_solo_vo,chatter_friendly,1,,,,,,,,
debug_solo_vo,chatter_enemy,1,,,,,,,,
debug_solo_vo,vox_friendly,1,,,,,,,,
debug_solo_vo,vox_enemy,1,,,,,,,,
debug_solo_vo,dialog,1,,,,,,,,
debug_solo_vo,dialog_radio,1,,,,,,,,
debug_solo_vo,dialog_critical,1,,,,,,,,
debug_solo_vo,dialog_amb,1,,,,,,,,
debug_mute_vo,set_all,0,,,,,,,,
debug_mute_vo,chatter_friendly,1,,,,,,,,
debug_mute_vo,chatter_enemy,1,,,,,,,,
debug_mute_vo,vox_friendly,1,,,,,,,,
debug_mute_vo,vox_enemy,1,,,,,,,,
debug_mute_vo,dialog,1,,,,,,,,
debug_mute_vo,dialog_radio,1,,,,,,,,
debug_mute_vo,dialog_critical,1,,,,,,,,
debug_mute_vo,dialog_amb,1,,,,,,,,
debug_solo_dialog,set_all,0,,,,,,,,
debug_solo_dialog,dialog,1,,,,,,,,
debug_solo_dialog,dialog_radio,1,,,,,,,,
debug_solo_dialog,dialog_critical,1,,,,,,,,
debug_mute_dialog,dialog,0,,,,,,,,
debug_mute_dialog,dialog_radio,0,,,,,,,,
debug_mute_dialog,dialog_critical,0,,,,,,,,
debug_solo_amb_emitter,set_all,0,,,,,,,,
debug_solo_amb_emitter,amb_emitter,1,,,,,,,,
debug_reference_calibration,set_all,0,,,,,,,,
debug_reference_calibration,big_moment,10,,,,,,,,
sonar_vision,amb_quad,0.75,0.5,0.5,,,,,,
sonar_vision,amb_emitter,0.75,0.5,0.5,,,,,,
sonar_vision,amb_damb,0.75,0.5,0.5,,,,,,
sonar_vision,amb_dist,0.75,0.5,0.5,,,,,,
sonar_vision,chatter_enemy,1.5,0.5,0.5,,,,,,
sonar_vision,music,1,0.5,0.5,,,,,,
sonar_vision,plr_internal,1.5,0.5,0.5,,,,,,
sonar_vision,music_big,1,0.5,0.5,,,,,,
sonar_vision,tactical_plr_special,1.5,0.5,0.5,,,,,,
mute_device,set_all,0.2,0.05,0.05,,,,,,
mute_device,music,0,0.05,0.05,,,,,,
mute_device,wpn_plr_shot,0,0.05,0.05,,,,,,
mute_device,wpn_plr_mech,0,0.05,0.05,,,,,,
mute_device,wpn_plr_sub,0.8,0.05,0.05,,,,,,
mute_device,wpn_plr_tail,0,0.05,0.05,,,,,,
mute_device,wpn_npc_shot,0,0.05,0.05,,,,,,
mute_device,wpn_npc_mech,0,0.05,0.05,,,,,,
mute_device,wpn_npc_sub,50,0.05,0.05,,,,,,
mute_device,wpn_npc_tail,0,0.05,0.05,,,,,,
mute_device,bullet_whizby,0,0.05,0.05,,,,,,
mute_device,amb_quad,0.2,0.05,0.05,,,,,,
mute_device,amb_damb,0.2,0.05,0.05,,,,,,
mute_device,amb_emitter,0.2,0.05,0.05,,,,,,
mute_device,scripted2,1.5,0.05,0.05,,,,,,
mute_device,tactical_plr_special,2,0.05,0.05,,,,,,
